trial	image	image_flip_time	fixation_flip_time
1	number3.jpg	147570.3380	147574.1352
2	number1.jpg	147575.1407	147578.1360
3	number2.jpg	147579.1413	147582.1364
4	number3.jpg	147584.4855	147587.4807
5	number2.jpg	147588.4872	147591.4834
6	number1.jpg	147593.5721	147596.5675
