t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
1389289622375	952.68	625.87	923.15	643.63	3.7076	3.6657
1389289630708	994.12	596.67	960.22	617.84	3.7572	3.6906
1389289639041	1085.85	819.19	1070.54	653.23	3.7876	3.6761
1389289647375	1193.92	1020.92	1184.27	796.55	3.7504	3.4914
1389289655708	NaN	NaN	1306.87	1041.64	NaN	3.4821
1389289664041	NaN	NaN	1476.97	1087.02	NaN	3.1980
1389289672374	NaN	NaN	NaN	NaN	NaN	NaN
1389289680707	NaN	NaN	1629.82	1102.88	NaN	2.6768
1389289689041	NaN	NaN	1405.84	1301.16	NaN	3.3730
1389289697374	NaN	NaN	1412.60	1165.12	NaN	3.3334
1389289705707	1447.11	1345.39	1377.33	1120.26	2.1209	3.3455
1389289714041	NaN	NaN	1355.26	1044.64	NaN	3.4341
1389289722373	1566.86	1371.22	1373.01	893.52	3.0033	3.4123
1389289730707	NaN	NaN	1325.31	820.82	NaN	3.5755
1389289739040	1330.30	1064.05	1303.44	730.05	3.3835	3.5513
1389289747374	1287.36	976.03	1309.05	680.60	3.5659	3.5990
1389289755710	1289.38	908.52	1287.56	663.34	3.7143	3.6575
1389289764045	1283.49	839.09	1284.10	652.22	3.7312	3.6824
1389289772378	1278.44	826.60	1282.61	612.78	3.7517	3.7181
1389289780712	1265.47	752.41	1278.03	620.29	3.7531	3.6985
1389289789045	1274.50	736.68	1275.05	627.05	3.8840	3.7273
1389289797377	1271.28	731.16	1281.47	604.28	3.8850	3.7108
1389289805711	1265.50	671.04	1287.46	641.71	3.8136	3.6591
1389289814044	1263.52	648.97	1292.80	675.84	3.8704	3.6913
1389289822377	1269.90	600.12	1287.56	664.87	3.8280	3.6686
1389289830702	1269.32	583.40	1291.69	660.20	3.8238	3.6510
1389289839035	1269.63	581.70	1286.73	671.38	3.8264	3.6794
1389289847369	1275.40	620.54	1295.29	660.14	3.8548	3.6398
1389289855702	1275.97	655.39	1293.03	660.58	3.8502	3.6635
1389289864035	1266.75	663.59	1291.87	657.96	3.8618	3.6675
1389289872368	1269.52	631.53	1294.26	662.21	3.7767	3.6978
1389289880706	1282.25	681.70	1289.54	668.80	3.8619	3.7046
1389289889039	1282.72	701.54	1296.97	666.05	3.8746	3.7028
1389289897372	1288.19	725.84	1297.19	664.33	3.8917	3.6961
1389289905705	1279.09	718.11	1296.56	673.14	3.9017	3.7024
1389289914038	1286.34	701.71	1293.86	670.14	3.8879	3.7094
1389289922372	1291.29	722.08	1292.89	674.22	3.9117	3.7196
1389289930705	1292.30	727.26	1296.62	665.86	3.9121	3.7165
1389289939039	1294.31	721.27	1297.73	656.25	3.9322	3.7088
1389289947371	1292.30	718.29	1296.96	667.67	3.9552	3.7050
1389289955703	1289.67	704.72	1297.06	667.29	3.8905	3.7128
1389289964036	1293.52	731.80	1298.26	678.49	3.9314	3.7311
1389289972369	1291.32	732.25	1293.63	681.42	3.9569	3.7412
1389289980704	1288.58	721.74	1292.57	689.12	3.9657	3.7492
1389289989037	1290.85	715.20	1296.24	675.79	3.9592	3.7332
1389289997371	1291.75	727.39	1287.91	679.10	3.9894	3.7599
1389290005704	1292.43	710.64	1290.53	672.79	3.9651	3.7554
1389290014047	1291.26	716.26	1298.04	679.92	3.9869	3.7598
1389290022381	1291.34	718.86	1289.95	682.30	3.9709	3.7682
1389290030713	1288.70	704.16	1300.22	673.74	3.9433	3.7412
