t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
847988844269	1238.58	646.92	1247.75	656.06	3.2806	3.4399
847988852602	1242.33	617.65	1261.22	636.08	3.2989	3.4545
847988860934	1251.51	639.41	1261.11	645.49	3.3257	3.4370
847988869268	1255.23	638.76	1267.75	652.29	3.2677	3.4291
847988877601	1259.96	642.88	1264.14	654.63	3.3037	3.4464
847988885934	1253.94	638.07	1268.37	643.72	3.2960	3.4475
847988894274	1252.62	638.02	1266.58	651.78	3.2796	3.4461
847988902607	1252.19	633.26	1266.98	650.99	3.2931	3.4307
847988910940	1254.59	640.34	1261.45	654.28	3.3150	3.4558
847988919274	1258.67	635.88	1273.66	650.87	3.2850	3.4643
847988927606	1258.55	649.74	1265.30	654.39	3.3216	3.4562
847988935940	1259.99	639.61	1266.20	653.98	3.3173	3.4756
847988944273	1254.77	640.66	1267.44	648.71	3.3219	3.4548
847988952606	1256.84	645.37	1271.95	653.53	3.3151	3.4704
847988960939	1260.56	637.77	1265.91	643.05	3.3168	3.4692
847988969273	1256.39	636.69	1272.49	652.30	3.3168	3.4826
847988977606	1253.62	637.71	1270.21	644.47	3.3199	3.4806
847988985939	1258.48	635.81	1272.67	652.09	3.3174	3.4971
847988994273	1264.95	637.38	1271.46	648.11	3.3216	3.4782
847989002605	1256.91	644.71	1270.88	646.58	3.3568	3.4892
847989010938	1264.13	643.93	1274.38	649.49	3.3572	3.4897
847989019272	1258.67	632.67	1270.85	659.86	3.3392	3.5203
847989027608	1284.70	687.73	1294.71	681.04	3.3693	3.4785
847989035941	1274.73	704.09	1290.10	675.30	3.3882	3.4647
847989044275	1274.80	652.71	1285.33	669.33	3.3092	3.4765
847989052608	1273.41	665.91	1292.80	680.95	3.3592	3.5233
847989060942	1276.90	665.68	1294.09	689.49	3.3278	3.5145
847989069275	1277.56	663.76	1284.93	680.01	3.3321	3.5049
847989077607	1277.88	688.46	1293.09	703.62	3.3885	3.5530
847989085940	1277.08	684.37	1285.97	680.27	3.3948	3.5007
847989094274	1273.30	679.95	1295.76	684.15	3.3759	3.5214
847989102608	1281.75	698.52	1287.02	672.91	3.4254	3.5173
847989110941	1276.82	664.70	1290.06	676.10	3.3634	3.5322
847989119274	1278.81	655.03	1293.50	677.04	3.3545	3.5251
847989127608	1277.55	688.29	1297.14	668.47	3.4130	3.5015
847989135940	1278.75	655.43	1295.32	685.63	3.3456	3.5446
847989144274	1272.74	683.50	1293.70	674.82	3.4285	3.5283
847989152607	1276.32	700.42	1285.39	673.76	3.4423	3.5197
847989160942	1275.06	685.04	1289.76	689.21	3.4433	3.5555
847989169275	1273.25	676.84	1286.94	673.54	3.4155	3.5291
847989177610	1280.45	694.57	1291.52	680.39	3.4401	3.5496
847989185944	1269.64	679.16	1287.07	675.60	3.4183	3.5524
847989194276	1272.07	686.58	1290.24	662.48	3.4489	3.5379
847989202610	1274.88	697.20	1285.57	669.67	3.4534	3.5383
847989210943	1276.32	675.91	1286.08	672.51	3.4092	3.5526
847989219277	1273.75	667.90	1292.81	672.30	3.4037	3.5776
847989227609	1278.28	697.59	1285.07	697.57	3.4766	3.6163
847989235942	1282.89	692.62	1286.61	668.02	3.4604	3.5681
847989244274	1271.36	694.83	1285.15	673.43	3.4917	3.5743
847989252608	1277.03	655.57	1286.10	666.87	3.4084	3.5801
847989260941	1275.22	665.00	1287.61	692.89	3.4105	3.6141
847989269276	1278.40	685.76	1292.39	673.17	3.4799	3.5865
847989277608	1277.00	664.05	1291.48	674.65	3.4128	3.5957
847989285949	1276.19	689.92	1286.67	675.30	3.4618	3.6010
847989294282	1281.86	703.20	1292.53	687.63	3.4985	3.6224
847989302614	1282.03	700.44	1285.42	692.41	3.5018	3.6364
847989310949	1285.89	700.89	1280.95	692.61	3.5020	3.6399
847989319281	1278.45	688.21	1287.68	677.49	3.4940	3.6090
847989327615	1278.89	684.03	1283.54	684.22	3.4613	3.6492
847989335947	1272.71	666.05	1280.20	675.26	3.4257	3.6359
847989344281	1272.86	679.66	1288.27	670.30	3.4549	3.6092
847989352614	1280.09	674.39	1284.12	697.53	3.4578	3.6640
847989360948	1274.58	690.06	1279.51	686.10	3.4802	3.6495
847989369282	1271.70	690.00	1288.99	698.65	3.4818	3.6660
