stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_apfmyjfgtjmwzvfb.jpg	1	0.313	0.158	1320.830	820.320	0.176	0.064	0.0	12	tissue box
sun_apfmyjfgtjmwzvfb.jpg	2	0.505	0.208	1181.730	499.625	0.132	0.096	0.0	5	mirror
sun_apfmyjfgtjmwzvfb.jpg	3	0.738	0.250	1317.032	475.512	0.139	0.062	0.0	8	sconce
sun_apfmyjfgtjmwzvfb.jpg	4	1.013	0.258	1489.045	515.395	0.178	0.066	0.0	13	towel ring
sun_apfmyjfgtjmwzvfb.jpg	5	1.321	0.642	1301.600	868.515	0.203	0.074	0.0	2	countertop
sun_apfmyjfgtjmwzvfb.jpg	5	1.321	0.642	1301.600	868.515	0.203	0.074	0.0	9	sink
sun_apfmyjfgtjmwzvfb.jpg	6	1.980	0.467	1371.175	783.452	0.236	0.103	0.0	12	tissue box
sun_apfmyjfgtjmwzvfb.jpg	7	2.463	0.183	1310.997	769.017	0.173	0.090	0.0	12	tissue box
sun_apfmyjfgtjmwzvfb.jpg	8	2.680	0.325	1292.710	854.905	0.132	0.036	0.0	2	countertop
