stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_apmpdqangkfvwrpn.jpg	1	0.247	0.167	1211.180	776.100	0.077	0.021	0.0	2	cabinet
sun_apmpdqangkfvwrpn.jpg	1	0.247	0.167	1211.180	776.100	0.077	0.021	0.0	16	sink
sun_apmpdqangkfvwrpn.jpg	1	0.247	0.167	1211.180	776.100	0.077	0.021	0.0	19	worktop
sun_apmpdqangkfvwrpn.jpg	2	0.447	0.200	1017.122	875.212	0.099	0.019	0.0	19	worktop
sun_apmpdqangkfvwrpn.jpg	3	0.663	0.192	921.545	859.555	0.072	0.013	0.0	6	curtain
sun_apmpdqangkfvwrpn.jpg	3	0.663	0.192	921.545	859.555	0.072	0.013	0.0	10	flowers
sun_apmpdqangkfvwrpn.jpg	3	0.663	0.192	921.545	859.555	0.072	0.013	0.0	18	vase
sun_apmpdqangkfvwrpn.jpg	3	0.663	0.192	921.545	859.555	0.072	0.013	0.0	19	worktop
sun_apmpdqangkfvwrpn.jpg	4	0.905	0.292	1487.775	836.605	0.063	0.012	0.0	7	dishcloth
sun_apmpdqangkfvwrpn.jpg	4	0.905	0.292	1487.775	836.605	0.063	0.012	0.0	13	range
sun_apmpdqangkfvwrpn.jpg	5	1.213	0.275	1454.765	779.030	0.062	0.010	0.0	3	candle holder
sun_apmpdqangkfvwrpn.jpg	5	1.213	0.275	1454.765	779.030	0.062	0.010	0.0	13	range
sun_apmpdqangkfvwrpn.jpg	6	1.522	0.375	1318.410	699.705	0.078	0.015	0.0	10	flowers
sun_apmpdqangkfvwrpn.jpg	7	1.930	0.417	1206.622	596.120	0.088	0.019	0.0	2	cabinet
sun_apmpdqangkfvwrpn.jpg	8	2.388	0.342	1551.455	619.835	0.075	0.022	0.0	2	cabinet
sun_apmpdqangkfvwrpn.jpg	9	2.747	0.258	1487.680	663.330	0.066	0.010	0.0	12	microwave
