t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
870153932245	1333.34	689.70	1309.33	706.89	2.8432	2.9991
870153940578	1331.49	691.74	1308.71	708.00	2.8372	2.9788
870153948910	1335.34	691.63	1316.39	714.51	2.8330	2.9995
870153957244	1332.66	691.46	1309.48	706.96	2.8445	2.9886
870153965577	1328.80	694.03	1311.38	700.56	2.8336	2.9705
870153973918	1323.06	689.77	1305.28	707.51	2.8056	2.9782
870153982250	1332.33	695.13	1312.44	703.44	2.8331	2.9605
870153990583	1324.57	691.45	1308.75	703.97	2.8194	2.9533
870153998916	1327.47	688.21	1307.38	709.64	2.8199	2.9717
870154007250	1324.91	681.40	1306.83	701.10	2.8103	2.9592
870154015583	1326.00	679.82	1309.83	710.60	2.8195	2.9604
870154023916	1328.18	683.80	1314.81	713.14	2.8213	2.9691
870154032249	1324.89	684.91	1313.38	708.70	2.8140	2.9506
870154040582	1321.99	682.14	1312.53	708.57	2.8069	2.9607
870154048915	1323.18	679.87	1306.78	704.05	2.8304	2.9460
870154057249	1324.02	677.67	1309.15	710.05	2.8177	2.9615
870154065583	1325.84	677.78	1317.56	703.55	2.8057	2.9292
870154073915	1328.49	685.11	1313.37	704.94	2.8166	2.9606
870154082248	1327.80	678.64	1314.10	705.86	2.8156	2.9548
870154090583	1323.67	674.65	1313.11	704.75	2.8090	2.9482
870154098916	1324.21	681.99	1310.68	707.25	2.8215	2.9451
870154107251	1330.53	676.56	1314.99	706.21	2.8123	2.9468
870154115584	1328.48	681.14	1313.38	709.73	2.7956	2.9562
870154123916	1330.34	685.32	1316.95	705.20	2.8186	2.9426
870154132250	1303.37	698.05	1295.20	722.09	2.8160	2.9455
870154140583	1266.70	709.54	1272.99	726.68	2.8146	2.9563
870154148916	1270.68	713.81	1254.00	735.50	2.8102	2.9423
870154157249	1260.76	712.75	1247.49	729.65	2.7698	2.9449
870154165583	1270.65	719.28	1249.58	747.89	2.7886	2.9647
870154173916	1265.73	716.83	1246.19	739.56	2.8015	2.9530
870154182249	1262.96	720.20	1246.03	738.14	2.7899	2.9562
870154190583	1273.90	715.40	1246.25	737.93	2.7961	2.9608
870154198915	1268.28	717.04	1246.21	738.50	2.7876	2.9585
870154207248	1266.00	719.34	1250.18	745.39	2.7820	2.9592
870154215582	1263.05	722.79	1248.79	740.92	2.7937	2.9519
870154223915	1260.82	715.20	1239.01	740.12	2.7877	2.9561
870154232257	1264.20	716.95	1244.97	735.51	2.8154	2.9462
870154240591	1261.67	719.38	1245.06	738.84	2.8121	2.9631
870154248923	1267.55	723.66	1243.18	741.02	2.8108	2.9821
870154257257	1261.98	720.84	1245.64	739.33	2.8290	2.9597
870154265591	1261.70	725.46	1240.27	746.88	2.8074	2.9901
870154273923	1255.64	725.62	1244.76	738.83	2.8400	2.9762
870154282256	1259.86	726.56	1244.31	740.74	2.8410	3.0001
870154290590	1257.52	722.91	1242.57	740.83	2.8398	2.9769
870154298923	1262.37	720.32	1243.29	736.57	2.8459	2.9858
870154307256	1257.57	720.52	1243.10	740.78	2.8390	2.9746
870154315590	1260.03	726.21	1240.25	738.82	2.8385	2.9942
870154323923	1261.83	724.03	1240.96	738.95	2.8291	2.9848
870154332256	1254.80	726.04	1237.80	737.08	2.8447	2.9915
870154340590	1251.03	724.23	1243.79	736.91	2.8396	2.9792
870154348922	1261.07	722.24	1238.78	732.01	2.8394	2.9867
870154357255	1258.13	727.55	1238.29	736.22	2.8465	2.9827
870154365591	1256.36	716.52	1240.63	740.56	2.8197	3.0012
870154373924	1261.82	717.46	1240.58	731.89	2.8654	2.9686
870154382257	1254.88	724.89	1236.31	733.93	2.8571	3.0076
870154390591	1270.52	714.20	1256.22	729.49	2.8486	3.0046
870154398924	1277.97	712.67	1272.39	734.16	2.8710	3.0112
870154407257	1280.09	718.45	1269.63	737.34	2.8721	3.0107
870154415591	1282.34	712.02	1260.44	733.23	2.8886	3.0022
870154423923	1281.27	715.02	1267.86	736.73	2.8735	3.0282
870154432256	1284.20	713.25	1267.71	739.05	2.8910	3.0149
870154440590	1286.37	715.68	1262.67	728.27	2.8896	3.0104
870154448923	1291.19	713.18	1267.06	738.73	2.9097	3.0289
870154457256	1287.13	717.53	1264.91	734.32	2.8986	3.0210
870154465590	1295.91	713.45	1266.64	731.99	2.8873	3.0375
870154473923	1282.73	717.72	1268.23	737.40	2.9243	3.0555
870154482256	1283.25	712.11	1265.11	735.18	2.9040	3.0219
870154490590	1291.64	709.29	1263.06	734.86	2.9036	3.0327
870154498928	1287.69	714.23	1268.88	733.04	2.9173	3.0333
870154507261	1292.79	716.35	1270.95	734.54	2.9218	3.0254
870154515594	1292.53	712.35	1272.87	740.25	2.8933	3.0500
870154523927	1287.30	709.13	1268.24	733.42	2.9187	3.0432
870154532260	1284.60	713.44	1270.03	729.88	2.9145	3.0433
870154540594	1286.38	712.49	1266.01	735.78	2.9340	3.0464
870154548927	1287.15	717.21	1270.51	732.64	2.9297	3.0295
870154557260	1284.92	708.34	1270.71	729.49	2.9422	3.0393
870154565594	1282.07	711.66	1274.44	734.78	2.9329	3.0457
870154573927	1286.26	715.03	1270.30	735.74	2.9370	3.0452
870154582259	1287.37	708.19	1274.80	727.19	2.9472	3.0497
870154590592	1280.56	699.26	1286.55	703.04	2.9689	3.0352
870154598926	1285.01	695.21	1282.52	703.58	2.9793	3.0542
870154607259	1287.58	699.37	1274.21	709.87	2.9718	3.0459
870154615593	1282.43	698.56	1278.51	711.92	2.9630	3.0523
870154623931	1286.51	696.90	1274.77	713.95	2.9770	3.0481
870154632264	1284.55	703.65	1282.96	705.89	2.9724	3.0598
870154640597	1281.15	700.54	1277.80	712.16	2.9733	3.0425
870154648931	1278.89	708.02	1277.42	714.93	3.0005	3.0548
870154657263	1279.66	702.42	1279.97	712.67	2.9694	3.0633
870154665597	1290.40	707.05	1274.85	714.90	2.9762	3.0664
870154673929	1289.87	703.07	1281.62	710.36	2.9857	3.0555
870154682262	1283.20	703.69	1276.19	713.74	2.9802	3.0566
870154690595	1294.33	699.38	1283.09	714.95	2.9662	3.0478
870154698929	1287.33	702.13	1280.81	708.15	2.9848	3.0482
870154707262	1290.79	700.66	1286.07	715.86	2.9619	3.0341
870154715595	1287.36	702.45	1288.49	714.41	2.9743	3.0408
870154723929	1289.02	703.51	1282.16	717.03	2.9788	3.0464
870154732262	1294.33	699.63	1280.83	718.05	2.9711	3.0383
870154740595	1289.25	698.17	1283.50	708.52	2.9672	3.0325
870154748929	1288.85	701.76	1277.95	707.13	2.9681	3.0203
870154757267	1294.38	700.83	1280.77	712.96	2.9792	3.0426
870154765600	1295.84	700.58	1279.62	707.20	2.9548	3.0387
870154773934	1294.88	706.72	1276.68	712.86	2.9507	3.0462
870154782267	1289.93	697.76	1278.75	709.32	2.9509	3.0224
870154790600	1297.58	700.99	1273.37	711.81	2.9547	3.0308
870154798934	1295.87	701.87	1278.29	718.33	2.9392	3.0370
