t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
422369657877	1324.58	728.18	1297.35	715.99	3.9039	3.8162
422369666210	1326.27	721.28	1294.57	715.91	3.9051	3.8275
422369674544	1327.66	725.94	1299.84	721.68	3.8980	3.8204
422369682880	1326.73	727.73	1302.80	717.93	3.9006	3.8153
422369691213	1329.93	727.83	1300.80	721.27	3.9028	3.8139
422369699547	1331.04	728.88	1302.86	718.75	3.8956	3.8251
422369707880	1332.22	725.34	1301.25	720.87	3.8862	3.8238
422369716214	1335.06	725.02	1301.84	721.95	3.9001	3.8174
422369724547	1338.16	722.27	1302.10	725.75	3.8987	3.8228
422369732880	1342.17	723.56	1297.01	727.10	3.9066	3.8250
422369741212	1338.48	725.59	1297.39	726.55	3.8992	3.8259
422369749546	1339.38	723.66	1298.91	726.99	3.9114	3.8227
422369757879	1335.72	721.13	1297.44	728.00	3.8903	3.8213
422369766212	1339.03	724.23	1294.92	727.09	3.9136	3.8218
422369774546	1336.45	728.17	1294.78	728.20	3.9091	3.8324
422369782879	1337.04	725.54	1297.24	731.19	3.9079	3.8294
422369791212	1334.53	728.77	1294.82	731.35	3.9080	3.8308
422369799546	1332.04	732.88	1292.93	727.47	3.9154	3.8319
422369807879	1335.31	728.86	1291.66	725.84	3.9188	3.8387
422369816218	1332.73	732.17	1292.83	724.43	3.9157	3.8506
422369824551	1335.43	729.01	1294.83	722.32	3.9204	3.8451
422369832884	1332.85	728.20	1296.24	718.34	3.9208	3.8519
422369841217	1338.78	730.21	1294.08	714.97	3.9256	3.8586
422369849551	1339.40	728.77	1294.86	719.31	3.9289	3.8626
422369857884	1335.37	732.63	1296.42	716.38	3.9459	3.8642
422369866217	1336.67	734.56	1297.60	712.67	3.9492	3.8700
422369874551	1341.00	725.06	1296.92	717.56	3.9436	3.8698
422369882884	1340.03	722.60	1295.73	711.99	3.9532	3.8742
422369891217	1332.93	724.78	1301.77	719.38	3.9560	3.8843
