trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
57	sun_asinbgvcqvrnsssj.jpg	1499004.3974	1499004.7421	1499004.7475	1499007.7473
58	sun_apaviskbumvstgsv.jpg	1499007.9558	1499008.3663	1499008.3724	1499011.3724
59	sun_afkjkqlhqnwftaam.jpg	1499011.5807	1499012.5292	1499012.5392	1499015.5390
60	sun_awusemdipqlufrmt.jpg	1499015.7474	1499018.9420	1499018.9475	1499021.9474
61	sun_aorysgcktvwbovgc.jpg	1499022.1558	1499022.7103	1499022.7226	1499025.7225
62	sun_aqxypnffmypblepf.jpg	1499025.9308	1499038.1964	1499038.2058	1499041.2058
63	sun_acznlxcgnetogsai.jpg	1499041.4142	1499042.6460	1499042.6558	1499045.6557
64	sun_apaxvwendkkxoteh.jpg	1499045.8642	1499047.5182	1499047.5312	1499050.5310
65	sun_apbokiglhflrauxo.jpg	1499050.7391	1499052.3661	1499052.3812	1499055.3807
66	sun_ahovdllcccjqjyeb.jpg	1499055.5892	1499057.8941	1499057.9059	1499060.9059
67	sun_aowefbfvclkxfhop.jpg	1499061.1142	1499062.3020	1499062.3142	1499065.3141
68	sun_atfpttqtzuliaaim.jpg	1499065.5226	1499066.5501	1499066.5646	1499069.5644
69	sun_algkamzphkipsfil.jpg	1499069.7726	1499080.5637	1499080.5726	1499083.5726
70	sun_ataniphupyuxeowc.jpg	1499083.7809	1499084.6859	1499084.6978	1499087.6975
71	sun_ajmwiafzffjerzeb.jpg	1499087.9059	1499100.9578	1499100.9729	1499103.9727
72	sun_ayhqvuklxnmflgid.jpg	1499104.1810	1499105.1261	1499105.1303	1499108.1310
73	sun_ajnzlaendvxbrnmy.jpg	1499108.3394	1499109.0294	1499109.0393	1499112.0393
74	sun_aknopalvgzzgfngw.jpg	1499112.2477	1499112.9813	1499112.9894	1499115.9893
75	sun_aexxtzchsriqptwg.jpg	1499116.1978	1499116.7099	1499116.7227	1499119.7227
76	sun_afmgqyvomuhprelx.jpg	1499119.9311	1499120.4218	1499120.4311	1499123.4311
77	sun_aevezokbkeojznwq.jpg	1499123.6394	1499124.1498	1499124.1648	1499127.1645
78	sun_adcrxklhlbwrbkgm.jpg	1499127.3726	1499127.6620	1499127.6727	1499130.6727
79	sun_aepvxmukjcxphfiy.jpg	1499130.8811	1499131.2219	1499131.2310	1499134.2310
80	sun_aqgncenzjwahkkgv.jpg	1499134.4394	1499134.9898	1499134.9977	1499137.9977
81	sun_aijkdpqohzcmjsco.jpg	1499138.2061	1499138.4858	1499138.4978	1499141.4977
82	sun_auyrvbsgjzcbllwy.jpg	1499141.7061	1499153.2060	1499153.2144	1499156.2144
83	sun_aqrdtsxisrulfusj.jpg	1499156.4228	1499157.0241	1499157.0311	1499160.0311
84	sun_aryemauxglpckieh.jpg	1499160.2396	1499160.7323	1499160.7394	1499163.7395
85	sun_ahilhlihtltiiszr.jpg	1499163.9477	1499165.0143	1499165.0228	1499168.0229
86	sun_aiwjjxhtgtrwjdsf.jpg	1499168.2312	1499168.7418	1499168.7565	1499171.7563
87	sun_aclkmsuodfedolnj.jpg	1499171.9645	1499172.4459	1499172.4562	1499175.4563
88	sun_aiceqwbizyfbxjga.jpg	1499175.6645	1499176.0380	1499176.0478	1499179.0479
89	labelme_kxvouciolcpqplr.jpg	1499179.2562	1499179.5656	1499179.5728	1499182.5728
90	sun_agauzddnbwdarpbz.jpg	1499182.7812	1499183.2493	1499183.2561	1499186.2562
91	sun_amjiwsczphtrowfh.jpg	1499186.4645	1499186.6379	1499186.6478	1499189.6479
92	sun_arehvoriqhbnqssp.jpg	1499189.8561	1499190.2299	1499190.2396	1499193.2395
93	sun_aottaoasihbcshqd.jpg	1499193.4480	1499193.7917	1499193.7978	1499196.7987
94	sun_anlddfvefwvocyae.jpg	1499197.0063	1499199.3014	1499199.3056	1499202.3062
95	sun_apfmyjfgtjmwzvfb.jpg	1499202.5146	1499203.5497	1499203.5649	1499206.5646
96	sun_ahdoavtbmzlbpsyw.jpg	1499206.7729	1499207.2251	1499207.2312	1499210.2313
97	sun_abjtwfukuwddzted.jpg	1499210.4395	1499211.1257	1499211.1313	1499214.1312
98	sun_arhwdncltdednobr.jpg	1499214.3395	1499214.7418	1499214.7566	1499217.7562
99	sun_awnqiikzaispgmwo.jpg	1499217.9646	1499218.4616	1499218.4729	1499221.4729
100	sun_avcxsdrrfbrkydcp.jpg	1499221.6812	1499222.4298	1499222.4396	1499225.4396
101	sun_agxuuvqtddjgypyr.jpg	1499226.2980	1499229.0173	1499229.0229	1499232.0230
102	sun_ajyzthllrejcnemk.jpg	1499232.2313	1499232.9253	1499232.9325	1499235.9396
103	sun_acxkpeoqbwcxfvip.jpg	1499236.1480	1499236.4616	1499236.4729	1499239.4732
104	sun_afbibxsnpvkmvhxn.jpg	1499239.6814	1499239.9257	1499239.9313	1499242.9313
105	sun_anydqmweocgeuwol.jpg	1499243.1397	1499243.4252	1499243.4313	1499246.4314
106	sun_ajjktnfzwntvwsfh.jpg	1499246.6397	1499247.1335	1499247.1484	1499250.1479
107	sun_afsugeohwcfpkvgo.jpg	1499250.3564	1499250.5572	1499250.5646	1499253.5647
108	sun_algllabdmeofrowq.jpg	1499253.7730	1499254.2134	1499254.2231	1499257.2231
109	sun_attdviyipsljunts.jpg	1499257.4314	1499257.5926	1499257.6066	1499260.6063
110	sun_anaaondppjmietbw.jpg	1499260.8148	1499261.0763	1499261.0813	1499264.0814
111	sun_akcicdjszssqmkjl.jpg	1499264.2897	1499264.8775	1499264.8899	1499267.8897
112	sun_ansbufagozaoxmru.jpg	1499268.0982	1499268.3763	1499268.3900	1499271.3898
113	sun_agfbbeozqztznacq.jpg	1499271.5981	1499271.7899	1499271.7980	1499274.7981
114	sun_abruimnjlaxgqbze.jpg	1499275.0064	1499288.2415	1499288.2481	1499291.2482
115	sun_aknkhdxyjkyfjvgl.jpg	1499291.4565	1499292.7100	1499292.7235	1499295.7233
116	sun_aauyknaheebshrxq.jpg	1499295.9314	1499297.1515	1499297.1565	1499300.1565
117	sun_atnitteqxzjhgjfy.jpg	1499300.3648	1499301.5355	1499301.5485	1499304.5482
118	sun_aihqqhkbilvntzdn.jpg	1499304.7564	1499305.5096	1499305.5234	1499308.5232
119	sun_ajlfvmneqpseyguf.jpg	1499308.7315	1499309.3751	1499309.3816	1499312.3815
120	sun_akoozmcccyrpzqdd.jpg	1499312.5898	1499312.9768	1499312.9902	1499315.9898
121	sun_aqocausinnuaogit.jpg	1499316.1982	1499316.4616	1499316.4732	1499319.4731
122	sun_ajomvdpkryvawqyv.jpg	1499319.6816	1499320.1443	1499320.1565	1499323.1566
123	labelme_vvuttgvlwdydbkh.jpg	1499323.3648	1499324.0293	1499324.0398	1499327.0399
124	sun_arrmumgicgcoptbt.jpg	1499327.2483	1499327.7815	1499327.7899	1499330.7899
125	sun_apmpdqangkfvwrpn.jpg	1499330.9982	1499331.6374	1499331.6483	1499334.6481
126	sun_ainaeweeykjelyft.jpg	1499334.8565	1499335.6689	1499335.6818	1499338.6816
127	sun_apdxoksqpmpghypf.jpg	1499338.8900	1499339.7413	1499339.7487	1499342.7479
128	sun_anjplxxhrqpqpzlr.jpg	1499342.9566	1499343.3779	1499343.3899	1499346.3900
129	sun_abqihmfbiddwtcmz.jpg	1499346.5982	1499347.3253	1499347.3316	1499350.3315
130	sun_apynckhmoftszqoq.jpg	1499350.5400	1499353.3572	1499353.3649	1499356.3649
131	sun_ahvpoenucqfbjkep.jpg	1499356.5733	1499359.0950	1499359.1067	1499362.1067
132	sun_acdlgczjpwkeuvgy.jpg	1499362.3149	1499365.1700	1499365.1818	1499368.1817
133	sun_anjpziwkjniyzlkr.jpg	1499368.3899	1499377.4372	1499377.4483	1499380.4484
134	sun_ahmtwjhnkkalblbh.jpg	1500261.4087	1500299.3838	1500299.3922	1500302.3925
135	sun_amgkcbncvhsceeuq.jpg	1500302.6008	1500303.3235	1500303.3345	1500306.3337
136	sun_atcwuzwzjucraewh.jpg	1500306.5424	1500307.2194	1500307.2257	1500310.2258
137	sun_agrwbmhcpmfuwmsg.jpg	1500310.4342	1500311.1739	1500311.1841	1500314.1843
138	sun_aovnyfewezfmgwke.jpg	1500314.3925	1500315.1324	1500315.1428	1500318.1424
139	sun_azfvmsmpvphupjpu.jpg	1500318.3509	1500319.2435	1500319.2509	1500322.2508
140	sun_afscqnhvouixrplg.jpg	1500322.4590	1500323.2194	1500323.2257	1500326.2258
141	sun_axbqssteryzzlcop.jpg	1500326.4342	1500327.5952	1500327.6017	1500330.6006
142	labelme_snvevhpzwsruuja.jpg	1500330.8091	1500331.7309	1500331.7426	1500334.7424
143	sun_anjgzxqwccbiozsw.jpg	1500334.9507	1500335.7076	1500335.7175	1500338.7175
144	sun_asrcfjusjydonoin.jpg	1500338.9258	1500340.9712	1500340.9845	1500343.9842
145	sun_atgpcvhxgyoezzht.jpg	1500344.1926	1500345.9153	1500345.9259	1500348.9259
146	sun_ajxvejtymbkewxpy.jpg	1500349.1341	1500350.7554	1500350.7677	1500353.7676
147	sun_accreawivrzlvqyc.jpg	1500353.9771	1500355.4399	1500355.4513	1500358.4510
148	sun_aywpszwfywdmgrpv.jpg	1500358.6593	1500360.8500	1500360.8593	1500363.8593
149	sun_ajxqlzmoovksgjbl.jpg	1500364.0676	1500368.6246	1500368.6343	1500371.6343
150	sun_awhvlirgpcdffbsk.jpg	1500371.8426	1500373.4353	1500373.4430	1500376.4427
151	sun_acsgbuurtwghzjel.jpg	1500376.6510	1500379.6666	1500379.6760	1500382.6759
152	sun_awyjssnluvfxtfwf.jpg	1500382.8843	1500385.0914	1500385.1010	1500388.1010
153	sun_azdnupmzwdxwflvh.jpg	1500388.3093	1500390.0758	1500390.0845	1500393.0843
154	sun_admyjjnxxddpqaud.jpg	1500393.2926	1500394.7633	1500394.7760	1500397.7759
155	sun_arvuykssgbdzaavk.jpg	1500397.9843	1500401.9427	1500401.9511	1500404.9510
156	sun_anmlnygclbxbrdbw.jpg	1500405.1594	1500422.4511	1500422.4598	1500425.4594
157	sun_anneoguowdhugwoy.jpg	1500425.6678	1500426.5630	1500426.5765	1500429.5761
158	sun_ajkawyunawdxfxob.jpg	1500429.7854	1500431.2933	1500431.3010	1500434.3011
159	sun_atfmueokdeplnsdy.jpg	1500434.5095	1500435.8749	1500435.8849	1500438.8845
160	sun_azwwluglgwfhhwee.jpg	1500439.0928	1500440.1230	1500440.1345	1500443.1344
161	sun_ahdycvpopffkzzsu.jpg	1500443.3428	1500444.4590	1500444.4679	1500447.4679
162	sun_aglwoufpxbtxqecp.jpg	1500447.6762	1500448.4991	1500448.5098	1500451.5096
163	sun_anuwqvomituqoawj.jpg	1500451.7179	1500452.6187	1500452.6262	1500455.6262
164	sun_ahqykyyouxkgmdnq.jpg	1500455.8346	1500456.5311	1500456.5428	1500459.5428
165	sun_ateowiyyxtlctxnj.jpg	1500459.7512	1500460.2428	1500460.2516	1500463.2512
166	labelme_maitcyodsfflkgk.jpg	1500463.4595	1500464.0671	1500464.0763	1500467.0763
167	sun_amhdrfkpqmptmlvl.jpg	1500467.2846	1500467.5788	1500467.5859	1500470.5929
168	sun_aenotlpyftoioydp.jpg	1500470.8013	1500471.2774	1500471.2850	1500474.2845
169	sun_afvkcxzohlpzliti.jpg	1500474.4929	1500474.9309	1500474.9429	1500477.9429
170	sun_ajawyzbcsphfnsgb.jpg	1500478.1512	1500479.0113	1500479.0179	1500482.0180
171	sun_aobtqmsjotgsxppu.jpg	1500482.2263	1500483.4590	1500483.4683	1500486.4679
172	sun_agguqiubmwhqqunb.jpg	1500486.6763	1500487.7363	1500487.7430	1500490.7429
173	sun_agrkvwbkgrglcoga.jpg	1500490.9512	1500491.2912	1500491.3014	1500494.3013
174	sun_alaftnkvuoaxsizt.jpg	1500494.5097	1500495.7151	1500495.7266	1500498.7263
175	sun_aydxycepjgosoubm.jpg	1500498.9345	1500499.7311	1500499.7429	1500502.7429
176	sun_asuudekbluwjwevp.jpg	1500502.9513	1500503.9097	1500503.9181	1500506.9180
177	sun_ajaqajwbqkwfvnef.jpg	1500507.1263	1500508.3150	1500508.3263	1500511.3263
178	sun_afutksgwyoqttegy.jpg	1500511.5347	1500512.7231	1500512.7346	1500515.7347
179	sun_aczamediblpgqmwt.jpg	1500515.9431	1500516.9391	1500516.9514	1500519.9513
180	sun_aomzbprctpzqwjzj.jpg	1500520.1597	1500520.7789	1500520.7856	1500523.7844
181	sun_aqqabpdqjxygueuw.jpg	1500523.9930	1500524.6265	1500524.6347	1500527.6346
182	sun_ahijqszoswveeyji.jpg	1500527.8431	1500528.6371	1500528.6427	1500531.6431
