t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
516388105192	1225.43	685.63	1243.55	692.93	2.7513	2.7069
516388113525	1233.43	699.74	1243.74	691.15	2.7762	2.6891
516388121862	1224.93	710.96	1243.96	683.98	2.8222	2.6754
516388130196	1226.37	694.69	1238.63	687.29	2.7916	2.6758
516388138529	1225.70	681.01	1244.51	689.87	2.7335	2.6766
516388146862	1228.91	681.31	1240.16	694.27	2.7351	2.6738
516388155196	1229.83	697.79	1243.28	696.35	2.7535	2.6859
516388163529	1221.44	677.12	1248.07	685.85	2.7449	2.6594
516388171862	1262.83	668.95	1297.08	684.02	2.7428	2.6839
516388180195	1277.72	694.46	1311.56	677.96	2.7699	2.6713
516388188528	1261.21	656.71	1288.50	686.41	2.7211	2.6901
516388196861	1270.73	691.79	1299.85	677.08	2.7938	2.6633
516388205195	1266.74	657.71	1309.04	680.61	2.7157	2.6773
516388213528	1274.08	655.07	1306.15	680.93	2.7066	2.6596
516388221861	1264.36	666.39	1299.70	684.47	2.7368	2.6956
516388230195	1266.66	659.84	1294.00	679.95	2.7001	2.6718
516388238528	1269.73	659.70	1294.13	678.65	2.6970	2.6639
516388246861	1259.26	677.37	1304.89	679.46	2.7427	2.6544
516388255201	1270.81	656.25	1292.74	683.19	2.6916	2.6591
516388263533	1262.17	655.82	1294.84	686.32	2.7117	2.6646
516388271866	1268.20	659.95	1298.27	688.20	2.6992	2.6727
516388280200	1271.61	683.63	1297.50	699.52	2.7473	2.6808
516388288533	1263.75	687.73	1298.65	691.25	2.7779	2.6697
516388296866	1257.80	662.08	1300.71	688.12	2.7082	2.6728
516388305199	1267.91	661.39	1301.86	692.15	2.7148	2.6781
516388313533	1272.65	710.15	1296.81	696.69	2.8158	2.6697
516388321866	1267.86	697.19	1299.31	687.12	2.7976	2.7053
516388330199	1267.28	667.08	1296.86	688.75	2.7254	2.6888
516388338532	1260.41	658.38	1303.04	678.84	2.7278	2.6695
516388346865	1267.71	671.73	1291.87	682.05	2.7556	2.6803
516388355198	1270.39	658.92	1292.85	684.40	2.7531	2.7023
516388363532	1270.97	689.46	1294.39	684.01	2.8009	2.6968
516388371865	1272.71	660.94	1292.60	681.84	2.7416	2.6983
516388380198	1270.62	675.75	1307.25	680.90	2.7829	2.6871
516388388537	1272.19	680.24	1301.42	685.58	2.7632	2.6981
516388396870	1297.57	663.41	1319.48	687.52	2.7725	2.7182
516388405203	1293.88	684.37	1304.58	692.44	2.8018	2.7321
516388413536	1285.62	700.65	1306.45	690.04	2.8485	2.7227
516388421869	1288.35	699.85	1310.54	691.93	2.8405	2.7401
516388430202	1293.39	730.33	1308.67	690.67	2.8939	2.7227
516388438536	1289.82	701.87	1308.03	692.82	2.8556	2.7465
516388446869	1288.41	654.46	1313.95	691.87	2.7589	2.7384
516388455202	1288.69	678.64	1319.29	697.16	2.8109	2.7458
516388463536	1284.36	643.84	1310.23	680.80	2.7353	2.7372
516388471869	1296.59	716.21	1308.99	681.66	2.9084	2.7671
516388480202	1288.75	695.66	1307.35	679.94	2.8658	2.7490
516388488536	1292.18	687.43	1311.74	683.11	2.8472	2.7611
516388496868	1289.10	692.84	1306.31	675.07	2.8723	2.7671
516388505201	1285.42	712.53	1314.34	669.87	2.8909	2.7723
516388513543	1289.50	684.20	1312.18	675.42	2.8533	2.7979
516388521876	1289.61	712.14	1307.03	674.92	2.9208	2.7675
516388530209	1294.30	698.70	1305.76	677.68	2.8669	2.7811
516388538543	1290.01	683.53	1312.28	684.33	2.8600	2.7840
516388546876	1287.93	655.93	1309.32	687.89	2.8151	2.7836
516388555210	1281.94	686.93	1315.90	680.78	2.8835	2.7961
516388563543	1272.84	661.21	1303.75	676.20	2.8158	2.7663
516388571875	1285.21	691.86	1311.86	687.70	2.9098	2.7924
516388580208	1282.50	685.99	1312.40	692.39	2.8890	2.8093
516388588542	1291.68	730.64	1309.66	691.87	2.9896	2.8113
516388596875	1293.22	701.89	1310.57	682.89	2.9421	2.8118
516388605208	1296.10	721.13	1306.29	683.06	2.9716	2.8008
516388613542	1287.29	721.06	1308.60	690.56	2.9786	2.8288
516388621875	1292.37	730.71	1303.22	680.23	2.9965	2.8062
516388630208	1299.43	744.82	1307.50	682.81	3.0074	2.8091
516388638542	1294.23	713.57	1311.69	686.39	2.9435	2.8217
516388646875	1289.76	733.75	1308.28	692.97	2.9960	2.8071
516388655208	1287.27	731.29	1304.35	709.18	2.9827	2.8032
516388663542	1273.03	660.80	1306.81	707.84	2.9370	2.8150
516388671875	1294.40	895.16	1302.09	676.13	2.8029	2.8658
516388680209	NaN	NaN	NaN	NaN	NaN	NaN
516388688542	NaN	NaN	NaN	NaN	NaN	NaN
516388696875	NaN	NaN	NaN	NaN	NaN	NaN
516388705209	NaN	NaN	NaN	NaN	NaN	NaN
516388713542	NaN	NaN	NaN	NaN	NaN	NaN
516388721874	NaN	NaN	NaN	NaN	NaN	NaN
516388730208	NaN	NaN	NaN	NaN	NaN	NaN
516388738541	NaN	NaN	NaN	NaN	NaN	NaN
516388746874	NaN	NaN	NaN	NaN	NaN	NaN
516388755208	NaN	NaN	NaN	NaN	NaN	NaN
516388763541	NaN	NaN	NaN	NaN	NaN	NaN
516388771874	NaN	NaN	NaN	NaN	NaN	NaN
516388780212	NaN	NaN	NaN	NaN	NaN	NaN
516388788546	NaN	NaN	NaN	NaN	NaN	NaN
516388796879	NaN	NaN	NaN	NaN	NaN	NaN
516388805212	NaN	NaN	NaN	NaN	NaN	NaN
516388813545	NaN	NaN	1309.84	700.58	NaN	2.7459
516388821878	NaN	NaN	1311.29	613.86	NaN	2.8776
516388830211	1317.21	857.80	1302.14	626.81	2.8702	2.8698
516388838545	1310.65	710.71	1302.79	663.05	2.9093	2.8272
516388846878	1287.29	685.41	1298.92	702.88	2.9912	2.8485
516388855211	1288.29	584.66	1301.94	731.05	2.9621	2.8580
516388863545	1290.42	672.07	1305.29	722.21	2.9786	2.8501
516388871878	1291.97	700.76	1309.85	720.10	2.9906	2.8515
516388880209	1295.50	679.50	1296.39	742.05	2.9758	2.8891
516388888544	1302.93	703.74	1307.19	727.35	2.9571	2.8520
516388896877	1299.56	727.77	1301.95	732.99	2.9833	2.8683
516388905210	1297.80	730.11	1311.30	715.24	2.9982	2.8319
