stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_azbzyzntqpgdoyyu.jpg	1	0.277	0.217	1218.922	747.402	0.202	0.115	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	1	0.277	0.217	1218.922	747.402	0.202	0.115	0.0	13	tissue box
sun_azbzyzntqpgdoyyu.jpg	2	0.518	0.425	1358.835	616.840	0.120	0.031	0.0	0	other
sun_azbzyzntqpgdoyyu.jpg	3	0.968	0.242	1222.430	708.460	0.230	0.090	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	3	0.968	0.242	1222.430	708.460	0.230	0.090	0.0	13	tissue box
sun_azbzyzntqpgdoyyu.jpg	4	1.227	0.350	1194.753	714.807	0.236	0.126	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	4	1.227	0.350	1194.753	714.807	0.236	0.126	0.0	13	tissue box
sun_azbzyzntqpgdoyyu.jpg	5	1.768	0.450	1200.150	608.545	0.223	0.088	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	6	2.243	0.600	1199.595	702.325	0.205	0.180	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	6	2.243	0.600	1199.595	702.325	0.205	0.180	0.0	13	tissue box
sun_azbzyzntqpgdoyyu.jpg	7	2.860	0.142	1223.420	736.330	0.177	0.050	0.0	8	mirror
sun_azbzyzntqpgdoyyu.jpg	7	2.860	0.142	1223.420	736.330	0.177	0.050	0.0	13	tissue box
