stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_apunwgjjmfutuzff.jpg	1	0.268	0.233	1298.640	682.900	0.238	0.169	0.0	20	window
sun_apunwgjjmfutuzff.jpg	2	0.518	0.300	1273.037	712.273	0.242	0.098	0.0	20	window
sun_apunwgjjmfutuzff.jpg	3	0.859	0.292	1020.845	731.680	0.215	0.067	0.0	0	other
sun_apunwgjjmfutuzff.jpg	4	1.176	0.208	1054.755	722.615	0.178	0.067	0.0	0	other
sun_apunwgjjmfutuzff.jpg	5	1.409	0.258	988.745	720.220	0.200	0.048	0.0	12	outlet
sun_apunwgjjmfutuzff.jpg	6	1.684	0.258	882.955	685.955	0.146	0.038	0.0	3	cabinet
sun_apunwgjjmfutuzff.jpg	6	1.684	0.258	882.955	685.955	0.146	0.038	0.0	11	knife set
sun_apunwgjjmfutuzff.jpg	7	1.993	0.158	980.230	491.630	0.086	0.027	0.0	3	cabinet
sun_apunwgjjmfutuzff.jpg	8	2.168	0.258	1047.315	421.490	0.125	0.104	0.0	0	other
sun_apunwgjjmfutuzff.jpg	9	2.476	0.275	1605.160	447.280	0.129	0.046	0.0	1	bottle
sun_apunwgjjmfutuzff.jpg	9	2.476	0.275	1605.160	447.280	0.129	0.046	0.0	4	cabinets
sun_apunwgjjmfutuzff.jpg	10	2.784	0.217	1353.060	592.288	0.132	0.069	0.0	5	curtain
sun_apunwgjjmfutuzff.jpg	10	2.784	0.217	1353.060	592.288	0.132	0.069	0.0	20	window
