trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
58	sun_apaviskbumvstgsv.jpg	429084.6064	429085.7971	429085.8407	429088.8432
59	sun_afkjkqlhqnwftaam.jpg	429089.0600	429090.2697	429090.2943	429093.2968
60	sun_awusemdipqlufrmt.jpg	429093.5136	429094.4532	429094.4811	429097.5002
61	sun_aorysgcktvwbovgc.jpg	429097.7171	429098.5597	429098.6011	429101.6035
62	sun_aqxypnffmypblepf.jpg	429101.8204	429102.5281	429102.5710	429105.5734
63	sun_acznlxcgnetogsai.jpg	429105.7903	429106.7972	429106.8912	429109.8936
64	sun_apaxvwendkkxoteh.jpg	429110.1105	429110.7950	429110.8444	429113.8635
65	sun_apbokiglhflrauxo.jpg	429114.0804	429114.7370	429114.8143	429117.8168
66	sun_ahovdllcccjqjyeb.jpg	429118.0336	429118.9571	429118.9844	429121.9868
67	sun_aowefbfvclkxfhop.jpg	429122.2037	429123.0051	429123.0544	429126.0568
68	sun_atfpttqtzuliaaim.jpg	429126.2737	429127.2772	429127.3078	429130.3103
69	sun_algkamzphkipsfil.jpg	429130.5271	429131.0855	429131.1109	429134.1134
70	sun_ataniphupyuxeowc.jpg	429134.3302	429135.1331	429135.1642	429138.1667
71	sun_ajmwiafzffjerzeb.jpg	429138.3835	429139.1889	429139.2175	429142.2200
72	sun_ayhqvuklxnmflgid.jpg	429142.4368	429143.1573	429143.2208	429146.2232
73	sun_ajnzlaendvxbrnmy.jpg	429146.4401	429147.2042	429147.2407	429150.2599
74	sun_aknopalvgzzgfngw.jpg	429150.4767	429151.2626	429151.2940	429154.2965
75	sun_aexxtzchsriqptwg.jpg	429154.5133	429155.5811	429155.6643	429158.6667
76	sun_afmgqyvomuhprelx.jpg	429158.8836	429159.5812	429159.6008	429162.6032
77	sun_aevezokbkeojznwq.jpg	429162.8201	429163.5496	429163.5874	429166.5898
78	sun_adcrxklhlbwrbkgm.jpg	429166.8067	429167.3959	429167.4405	429170.4596
79	sun_aepvxmukjcxphfiy.jpg	429170.6765	429172.1298	429172.1610	429175.1635
80	sun_aqgncenzjwahkkgv.jpg	429175.3803	429175.6880	429175.7473	429178.7497
81	sun_aijkdpqohzcmjsco.jpg	429178.9666	429179.7015	429179.7505	429182.7530
82	sun_auyrvbsgjzcbllwy.jpg	429182.9698	429183.5300	429183.5536	429186.5561
83	sun_aqrdtsxisrulfusj.jpg	429186.7729	429187.3169	429187.3901	429190.3926
84	sun_aryemauxglpckieh.jpg	429190.6094	429191.7410	429191.7937	429194.7961
85	sun_ahilhlihtltiiszr.jpg	429195.0130	429195.8451	429195.8804	429198.8828
86	sun_aiwjjxhtgtrwjdsf.jpg	429199.0996	429199.5653	429199.6334	429202.6359
87	sun_aclkmsuodfedolnj.jpg	429202.8527	429203.8537	429203.8702	429206.8726
88	sun_aiceqwbizyfbxjga.jpg	429207.0895	429208.0056	429208.0402	429211.0427
89	labelme_kxvouciolcpqplr.jpg	429211.2595	429211.8852	429211.9268	429214.9292
90	sun_agauzddnbwdarpbz.jpg	429215.1460	429215.6054	429215.6298	429218.6489
91	sun_amjiwsczphtrowfh.jpg	429218.8657	429219.4391	429219.4662	429222.4854
92	sun_arehvoriqhbnqssp.jpg	429222.7022	429223.5291	429223.6029	429226.6054
93	sun_aottaoasihbcshqd.jpg	429226.8222	429227.1652	429227.2059	429230.2083
94	sun_anlddfvefwvocyae.jpg	429230.4252	429230.7575	429230.8422	429233.8446
95	sun_apfmyjfgtjmwzvfb.jpg	429234.0615	429234.5313	429234.5785	429237.5977
96	sun_ahdoavtbmzlbpsyw.jpg	429237.8145	429238.1415	429238.1982	429241.2006
97	sun_abjtwfukuwddzted.jpg	429241.4175	429241.8456	429241.9345	429244.9537
98	sun_arhwdncltdednobr.jpg	429245.1705	429245.5815	429245.6209	429248.6233
99	sun_awnqiikzaispgmwo.jpg	429248.8402	429249.5410	429249.5741	429252.5765
100	sun_avcxsdrrfbrkydcp.jpg	429252.7934	429253.2134	429253.2604	429256.2629
101	sun_agxuuvqtddjgypyr.jpg	429260.3662	429261.1486	429261.1835	429264.1860
102	sun_ajyzthllrejcnemk.jpg	429264.4028	429265.1321	429265.1535	429268.1726
103	sun_acxkpeoqbwcxfvip.jpg	429268.3894	429268.7048	429268.7897	429271.7922
104	sun_afbibxsnpvkmvhxn.jpg	429272.0090	429272.7253	429272.7930	429275.7954
105	sun_anydqmweocgeuwol.jpg	429276.0123	429276.8130	429276.8463	429279.8654
106	sun_ajjktnfzwntvwsfh.jpg	429280.0823	429280.6903	429280.7161	429283.7352
107	sun_afsugeohwcfpkvgo.jpg	429283.9521	429284.4659	429284.4859	429287.4883
108	sun_algllabdmeofrowq.jpg	429287.7052	429288.3973	429288.4224	429291.4248
109	sun_attdviyipsljunts.jpg	429291.6417	429292.1494	429292.1921	429295.1946
110	sun_anaaondppjmietbw.jpg	429295.4114	429295.9493	429295.9786	429298.9810
111	sun_akcicdjszssqmkjl.jpg	429299.1978	429299.9663	429300.0485	429303.0510
112	sun_ansbufagozaoxmru.jpg	429303.2678	429304.1731	429304.1852	429307.1877
113	sun_agfbbeozqztznacq.jpg	429307.4045	429308.0854	429308.1051	429311.1242
114	sun_abruimnjlaxgqbze.jpg	429311.3411	429311.8166	429311.8582	429314.8606
115	sun_aknkhdxyjkyfjvgl.jpg	429315.0774	429315.2982	429315.3443	429318.3468
116	sun_aauyknaheebshrxq.jpg	429318.5636	429319.2453	429319.2976	429322.3167
117	sun_atnitteqxzjhgjfy.jpg	429322.5335	429323.0136	429323.0673	429326.0697
118	sun_aihqqhkbilvntzdn.jpg	429326.2866	429326.8816	429326.9037	429329.9062
119	sun_ajlfvmneqpseyguf.jpg	429330.1230	429330.6215	429330.6401	429333.6426
120	sun_akoozmcccyrpzqdd.jpg	429333.8594	429334.3152	429334.3765	429337.3789
121	sun_aqocausinnuaogit.jpg	429337.5958	429338.5336	429338.5799	429341.5824
122	sun_ajomvdpkryvawqyv.jpg	429341.7992	429342.6695	429342.7166	429345.7191
123	labelme_vvuttgvlwdydbkh.jpg	429345.9359	429346.3973	429346.4697	429349.4888
124	sun_arrmumgicgcoptbt.jpg	429349.7057	429350.6614	429350.6898	429353.6922
125	sun_apmpdqangkfvwrpn.jpg	429353.9091	429354.4454	429354.4762	429357.4787
126	sun_ainaeweeykjelyft.jpg	429357.6955	429358.5334	429358.5629	429361.5653
127	sun_apdxoksqpmpghypf.jpg	429361.7822	429362.4937	429362.5161	429365.5185
128	sun_anjplxxhrqpqpzlr.jpg	429365.7354	429366.1735	429366.2024	429369.2049
129	sun_abqihmfbiddwtcmz.jpg	429369.4217	429369.9843	429370.0055	429373.0080
130	sun_apynckhmoftszqoq.jpg	429373.2248	429373.9975	429374.0421	429377.0446
131	sun_ahvpoenucqfbjkep.jpg	429377.2614	429377.6416	429377.6784	429380.6976
132	sun_acdlgczjpwkeuvgy.jpg	429380.9144	429381.4138	429381.4649	429384.4673
133	sun_anjpziwkjniyzlkr.jpg	429384.6841	429385.1415	429385.1846	429388.1870
134	sun_ahmtwjhnkkalblbh.jpg	429388.4038	429389.1974	429389.2212	429392.2236
135	sun_amgkcbncvhsceeuq.jpg	429392.4405	429392.9501	429392.9909	429395.9934
136	sun_atcwuzwzjucraewh.jpg	429396.2102	429397.0296	429397.0776	429400.0800
137	sun_agrwbmhcpmfuwmsg.jpg	429400.2969	429400.8374	429400.8974	429403.9165
138	sun_aovnyfewezfmgwke.jpg	429404.1333	429405.0531	429405.0841	429408.0865
139	sun_azfvmsmpvphupjpu.jpg	429408.3034	429408.9022	429408.9706	429411.9730
140	sun_afscqnhvouixrplg.jpg	429412.1899	429412.6611	429412.7070	429415.7094
141	sun_axbqssteryzzlcop.jpg	429415.9263	429416.5811	429416.6268	429419.6460
142	labelme_snvevhpzwsruuja.jpg	429419.8628	429420.6777	429420.7468	429423.7493
143	sun_anjgzxqwccbiozsw.jpg	429423.9661	429424.2455	429424.2997	429427.3022
144	sun_asrcfjusjydonoin.jpg	429427.5190	429427.8945	429427.9194	429430.9218
145	sun_atgpcvhxgyoezzht.jpg	429431.1386	429431.5093	429431.5556	429434.5581
146	sun_ajxvejtymbkewxpy.jpg	429434.7749	429435.3416	429435.3588	429438.3612
147	sun_accreawivrzlvqyc.jpg	429438.5780	429439.1334	429439.1785	429442.1810
148	sun_aywpszwfywdmgrpv.jpg	429442.3978	429443.1892	429443.2652	429446.2676
149	sun_ajxqlzmoovksgjbl.jpg	429446.4845	429446.7576	429446.7847	429449.7872
150	sun_awhvlirgpcdffbsk.jpg	429450.0040	429450.9498	429451.0048	429454.0073
151	sun_acsgbuurtwghzjel.jpg	429454.2241	429455.1413	429455.1916	429458.1940
152	sun_awyjssnluvfxtfwf.jpg	429458.4109	429459.1195	429459.1615	429462.1806
153	sun_azdnupmzwdxwflvh.jpg	429462.3974	429462.9095	429462.9312	429465.9503
154	sun_admyjjnxxddpqaud.jpg	429466.1672	429466.8948	429466.9178	429469.9202
155	sun_arvuykssgbdzaavk.jpg	429470.1371	429470.7251	429470.7542	429473.7734
156	sun_anmlnygclbxbrdbw.jpg	429473.9902	429474.3871	429474.4739	429477.4764
157	sun_anneoguowdhugwoy.jpg	429477.6932	429477.8452	429477.8600	429480.8625
158	sun_ajkawyunawdxfxob.jpg	429481.0793	429483.2753	429483.3312	429486.3503
159	sun_atfmueokdeplnsdy.jpg	429486.5671	429487.0793	429487.1009	429490.1200
160	sun_azwwluglgwfhhwee.jpg	429490.3369	429490.7738	429490.8039	429493.8230
161	sun_ahdycvpopffkzzsu.jpg	429494.0399	429494.5256	429494.5403	429497.5427
162	sun_aglwoufpxbtxqecp.jpg	429497.7596	429498.5497	429498.5769	429501.5794
163	sun_anuwqvomituqoawj.jpg	429501.7962	429502.6695	429502.6969	429505.6994
164	sun_ahqykyyouxkgmdnq.jpg	429505.9162	429506.5417	429506.6001	429509.6026
165	sun_ateowiyyxtlctxnj.jpg	429509.8194	429510.5095	429510.5367	429513.5391
166	labelme_maitcyodsfflkgk.jpg	429513.7559	429514.3217	429514.3397	429517.3589
167	sun_amhdrfkpqmptmlvl.jpg	429517.5757	429518.4055	429518.4598	429521.4622
168	sun_aenotlpyftoioydp.jpg	429521.6791	429522.3095	429522.3796	429525.3821
169	sun_afvkcxzohlpzliti.jpg	429525.5989	429526.3220	429526.3829	429529.3853
170	sun_ajawyzbcsphfnsgb.jpg	429529.6022	429530.3094	429530.3361	429533.3386
171	sun_aobtqmsjotgsxppu.jpg	429533.5554	429534.5739	429534.5896	429537.5920
172	sun_agguqiubmwhqqunb.jpg	429537.8089	429538.3016	429538.3260	429541.3451
173	sun_agrkvwbkgrglcoga.jpg	429541.5619	429542.1177	429542.1624	429545.1815
