t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
336378493490	1345.79	578.88	1327.39	582.71	3.5196	3.6681
336378501823	1348.74	579.83	1326.71	585.51	3.5151	3.6708
336378510157	1345.44	583.98	1331.13	589.25	3.5201	3.6701
336378518490	1344.53	586.75	1333.67	591.74	3.5190	3.6649
336378526822	1345.72	589.49	1330.61	591.55	3.5188	3.6684
336378535156	1344.83	587.33	1330.68	595.65	3.5171	3.6646
336378543494	1347.83	584.92	1329.26	592.56	3.5164	3.6616
336378551827	1347.71	582.98	1328.28	594.82	3.5074	3.6617
336378560161	1348.80	582.45	1330.90	599.95	3.5151	3.6618
336378568494	1348.56	582.97	1326.05	599.56	3.5148	3.6611
336378576827	1351.18	590.82	1328.52	603.14	3.5213	3.6607
336378585161	1352.85	594.21	1328.75	609.86	3.5107	3.6629
336378593494	1345.01	616.87	1315.75	621.78	3.5168	3.6652
336378601826	1309.73	631.38	1270.77	642.16	3.5195	3.6618
336378610160	1289.54	832.20	1270.72	792.71	3.2664	3.3668
336378618493	1640.38	949.50	1499.31	848.90	1.6932	2.5457
336378626826	NaN	NaN	NaN	NaN	NaN	NaN
336378635160	NaN	NaN	NaN	NaN	NaN	NaN
336378643493	NaN	NaN	NaN	NaN	NaN	NaN
336378651826	NaN	NaN	NaN	NaN	NaN	NaN
336378660160	NaN	NaN	NaN	NaN	NaN	NaN
336378668493	NaN	NaN	NaN	NaN	NaN	NaN
336378676831	NaN	NaN	NaN	NaN	NaN	NaN
336378685164	NaN	NaN	NaN	NaN	NaN	NaN
336378693497	NaN	NaN	NaN	NaN	NaN	NaN
336378701830	NaN	NaN	NaN	NaN	NaN	NaN
336378710164	NaN	NaN	NaN	NaN	NaN	NaN
336378718497	NaN	NaN	NaN	NaN	NaN	NaN
336378726830	NaN	NaN	NaN	NaN	NaN	NaN
336378735164	NaN	NaN	NaN	NaN	NaN	NaN
336378743497	NaN	NaN	NaN	NaN	NaN	NaN
336378751830	NaN	NaN	NaN	NaN	NaN	NaN
336378760163	NaN	NaN	NaN	NaN	NaN	NaN
336378768496	NaN	NaN	NaN	NaN	NaN	NaN
336378776829	NaN	NaN	NaN	NaN	NaN	NaN
336378785163	NaN	NaN	NaN	NaN	NaN	NaN
336378793496	NaN	NaN	1531.25	806.34	NaN	2.8958
336378801829	1492.22	756.32	1522.28	851.82	2.9505	2.8960
336378810167	1320.43	767.98	1315.28	815.74	3.4611	3.5298
336378818500	1319.66	709.37	1304.01	765.18	3.5796	3.6392
336378826833	1316.52	671.19	1293.85	734.87	3.6311	3.7272
336378835167	1314.66	676.99	1290.57	708.85	3.6431	3.7651
336378843499	1320.09	677.91	1292.17	704.71	3.6487	3.7841
336378851832	1310.69	681.78	1289.46	704.92	3.6507	3.7837
336378860166	1315.54	682.35	1291.22	703.77	3.6425	3.7852
336378868499	1314.53	690.69	1289.79	708.47	3.6517	3.7911
336378876832	1318.33	692.25	1286.84	711.81	3.6575	3.7977
336378885166	1319.16	691.49	1289.15	707.30	3.6611	3.8058
336378893499	1322.81	688.46	1287.19	709.88	3.6596	3.8104
336378901832	1320.93	689.35	1283.09	704.42	3.6598	3.8067
336378910166	1327.18	685.39	1283.55	699.25	3.6600	3.8027
336378918498	1319.21	686.36	1286.71	700.01	3.6659	3.8099
336378926831	1327.34	687.76	1283.24	702.35	3.6810	3.8156
336378935165	1328.08	688.69	1278.03	701.75	3.6842	3.8146
336378943504	1316.94	705.98	1281.14	701.97	3.7034	3.8099
336378951837	1275.38	727.36	1249.53	707.18	3.6837	3.8234
336378960171	1273.40	732.59	1243.61	709.12	3.6801	3.8299
336378968504	1304.34	725.06	1276.45	707.19	3.6828	3.8237
336378976837	1286.58	715.78	1263.42	702.36	3.6863	3.8284
336378985170	1286.01	713.87	1266.64	701.03	3.6895	3.8314
336378993504	1285.58	715.02	1264.63	704.58	3.6833	3.8409
336379001836	1285.06	714.48	1263.04	697.68	3.6887	3.8350
336379010169	1286.65	711.72	1257.40	702.85	3.6919	3.8364
336379018503	1288.36	714.87	1252.07	704.30	3.6953	3.8454
336379026836	1287.31	726.46	1255.81	705.89	3.7146	3.8555
336379035169	1289.04	727.82	1256.28	708.05	3.7250	3.8438
336379043503	1293.25	727.42	1252.03	708.19	3.7156	3.8413
336379051836	1287.72	725.33	1255.35	710.59	3.7214	3.8550
336379060170	1290.22	728.58	1256.52	713.37	3.7193	3.8572
336379068507	1289.21	720.36	1252.94	714.46	3.7200	3.8532
336379076839	1292.40	723.80	1254.02	716.06	3.7222	3.8597
336379085173	1287.25	728.70	1252.83	714.31	3.7268	3.8571
336379093506	1284.93	725.34	1253.35	714.05	3.7192	3.8666
336379101839	1280.50	730.87	1253.88	707.54	3.7201	3.8609
336379110172	1280.95	725.90	1252.24	709.70	3.7092	3.8472
336379118506	1280.29	727.46	1255.89	707.00	3.7054	3.8536
336379126839	1284.94	718.52	1251.56	703.38	3.7057	3.8438
336379135172	1284.69	715.54	1252.67	701.87	3.6930	3.8495
336379143506	1280.63	712.39	1252.29	700.67	3.6925	3.8421
336379151839	1285.33	712.44	1249.05	701.79	3.6954	3.8451
336379160172	1284.07	713.01	1251.73	705.93	3.6906	3.8451
336379168505	1283.70	717.48	1250.46	703.00	3.6900	3.8369
336379176838	1284.05	715.79	1247.18	703.21	3.6787	3.8324
336379185171	1281.09	720.59	1250.34	711.56	3.6700	3.8321
336379193505	1283.16	720.07	1250.63	707.83	3.6622	3.8209
336379201843	1280.24	723.39	1252.90	711.76	3.6596	3.8251
336379210176	1277.32	724.05	1256.46	713.25	3.6556	3.8172
336379218510	1278.12	732.29	1254.56	708.66	3.6626	3.8094
336379226843	1280.19	725.20	1252.69	716.64	3.6402	3.8167
336379235175	1281.67	726.45	1254.98	714.43	3.6513	3.8100
