image,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24
132_kitch,counter,washing machine,cabinet,sink,window,curtain,vase,flower,stove,dishwasher,oven,fridge,,,,,,,,,,,,
132_kitch_copy,cabinet,fridge,kitchenette,sink,chair,lamp,door,counter,oven,microwave,shelf,stove,,,,,,,,,,,,
133_bath,laundry basket,washing machine,towel holder,towel,shower,shower screen,shampoo bottle,rug,sink,mirror,toilet,bin,toilet paper,,,,,,,,,,,
133_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
133_kitch,counter,cabinet,coffee machine,glass,plate,sink,soap,kitchen utensil,spice,stove,oven,window,blind,picture,table,chair,water bottle,glass,,,,,,
133_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,
134_bath,water boiler,shower,shower screen,rug,sink,mirror,cabinet,shelf,toilet paper,toilet,,,,,,,,,,,,,,
134_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
134_kitch,shelf,plate,cutlery,kitchen utensil,stove,sink,counter,cabinet,washing machine,,,,,,,,,,,,,,,
134_kitch_copy,cabinet,glass door,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,,,,
135_bath,toilet,towel,shower,rug,sink,soap,plant,mirror,,,,,,,,,,,,,,,,
135_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,,,,,,,
135_kitch,counter,cabinet,stove,oven,sink,fridge,table,chair,vase,flower,bowl,,,,,,,,,,,,,
135_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,,,,,,,,,,
136_bath,mirror,sink,shelf,bathtub,shower,toilet,cabinet,,,,,,,,,,,,,,,,,
136_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
136_kitch,fridge,counter,coffee machine,cup,cabinet,stove,extractor hood,oven,sink,towel holder,kitchen towel,,,,,,,,,,,,,
136_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,plant,chair,door,counter,oven,microwave,shelf,stove,,,,,
