t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
840647278925	1581.45	634.93	1516.24	630.96	4.3586	4.6861
840647287259	1585.47	628.18	1517.21	635.66	4.3638	4.6987
840647295592	1582.61	645.41	1520.86	626.99	4.3823	4.6816
840647303926	1585.96	652.16	1517.58	632.30	4.4060	4.7167
840647312258	1590.29	643.57	1517.59	631.96	4.3992	4.7099
840647320592	1597.38	668.81	1512.84	634.38	4.4426	4.7237
840647328925	1580.49	657.11	1518.36	633.77	4.4032	4.7214
840647337259	1566.87	629.64	1526.75	635.02	4.3757	4.7153
840647345592	1562.59	680.77	1500.87	646.85	4.4360	4.7281
840647353928	1532.81	678.14	1473.31	645.16	4.4400	4.7138
840647362260	1491.31	672.71	1456.13	641.49	4.4321	4.7530
840647370594	1482.75	653.21	1429.37	664.14	4.4055	4.7045
840647378927	1410.88	771.41	1436.19	721.71	4.3253	4.5265
840647387261	1384.65	969.51	1418.23	914.99	4.2471	4.3839
840647395594	1387.72	1115.25	1411.05	933.04	4.2375	4.0123
840647403927	1339.55	1117.06	NaN	NaN	4.2352	NaN
840647412260	1339.94	1009.20	NaN	NaN	4.0389	NaN
840647420594	1329.89	909.66	1311.33	884.41	4.1540	4.3651
840647428928	1311.47	852.73	1294.85	853.19	4.2384	4.5022
840647437259	1328.94	801.61	1288.97	819.28	4.3474	4.6366
840647445593	1344.55	779.66	1290.61	801.40	4.3981	4.7392
840647453926	1347.15	772.25	1280.53	785.15	4.4360	4.7805
840647462260	1348.14	784.20	1278.39	774.49	4.4150	4.8211
840647470593	1339.68	789.81	1272.05	786.37	4.4301	4.7932
840647478926	1340.95	776.72	1274.68	783.70	4.4053	4.7906
840647487265	1337.19	777.83	1276.46	789.04	4.4267	4.7899
840647495599	1334.72	776.44	1276.01	782.97	4.4283	4.8000
840647503932	1329.03	773.11	1282.46	782.90	4.4274	4.8003
840647512266	1341.93	781.32	1274.66	788.40	4.4599	4.8202
840647520598	1341.93	777.10	1277.30	782.86	4.4503	4.8081
840647528931	1339.87	771.86	1276.16	782.65	4.4509	4.8368
840647537264	1338.49	771.69	1272.35	776.80	4.4656	4.8218
840647545598	1342.71	760.37	1272.91	780.16	4.4725	4.8380
840647553931	1338.30	760.81	1274.72	779.67	4.4545	4.8470
840647562264	1335.34	761.97	1272.44	777.93	4.4655	4.8506
840647570598	1347.17	768.97	1270.56	778.31	4.4883	4.8502
840647578931	1344.75	761.76	1266.95	776.62	4.4679	4.8531
840647587265	1346.38	759.68	1274.17	778.37	4.4805	4.8692
840647595598	1345.04	770.47	1270.84	778.71	4.4983	4.8635
840647603930	1344.29	764.71	1266.35	775.94	4.4935	4.8640
840647612263	1339.83	762.97	1272.87	778.50	4.4897	4.8651
840647620601	1344.84	764.55	1269.97	780.31	4.5025	4.8936
840647628934	1339.89	765.65	1271.94	779.59	4.5043	4.8753
840647637268	1344.01	764.93	1272.50	777.34	4.5129	4.8917
840647645601	1345.12	766.36	1274.41	779.09	4.5033	4.9010
840647653934	1347.33	757.35	1272.51	779.30	4.4890	4.8835
840647662267	1345.00	764.28	1272.71	784.46	4.5109	4.9084
840647670601	1342.14	767.83	1271.56	780.99	4.5234	4.9057
840647678933	1344.65	761.69	1268.02	777.09	4.5170	4.8986
840647687266	1348.36	759.82	1268.53	776.81	4.5288	4.9152
840647695600	1332.88	749.14	1256.16	759.38	4.5432	4.9250
840647703933	1317.75	730.98	1260.47	736.91	4.5558	4.9029
840647712267	1333.50	719.34	1261.64	740.85	4.5344	4.9135
840647720600	1328.73	727.19	1264.79	739.55	4.5508	4.9102
840647728933	1334.75	735.96	1264.57	740.61	4.5750	4.9270
840647737266	1331.15	726.53	1266.71	740.32	4.5478	4.9140
840647745600	1329.48	737.28	1261.80	732.67	4.5871	4.9138
840647753939	1330.52	735.28	1263.23	739.04	4.5697	4.9381
840647762272	1327.98	737.82	1267.09	733.29	4.5717	4.9227
840647770605	1323.66	735.33	1266.31	736.83	4.5833	4.9410
840647778938	1327.22	734.02	1270.47	735.29	4.5755	4.9148
840647787271	1322.79	734.35	1268.33	734.88	4.5878	4.9092
840647795605	1321.54	738.72	1274.85	736.34	4.5951	4.9119
840647803938	1324.31	738.98	1270.38	736.04	4.5871	4.9351
840647812272	1334.82	735.95	1278.03	736.98	4.5934	4.9304
840647820604	1336.29	733.27	1272.70	739.41	4.6000	4.9368
840647828938	1342.07	733.13	1268.54	729.84	4.6050	4.9310
840647837272	1334.33	735.50	1272.76	729.30	4.6111	4.9437
840647845604	1338.78	736.81	1272.54	730.62	4.6317	4.9322
840647853937	1342.82	741.83	1275.91	725.93	4.6421	4.9262
