Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	3	2455.934	2772.604	316.670	1211.765	957.472	0.157	0.090	0.447	0.591
sub-025_task-EyeTracking_physio	3	2822.612	3005.945	183.333	1628.735	628.767	0.144	0.054	0.432	0.316
sub-025_task-EyeTracking_physio	4	-452.394	247.620	700.014	1291.178	679.588	0.153	0.103	0.399	0.715
sub-025_task-EyeTracking_physio	4	297.620	522.626	225.006	1394.275	700.040	0.143	0.057	0.240	0.578
sub-025_task-EyeTracking_physio	4	547.625	1064.304	516.679	1325.242	633.570	0.082	0.037	0.300	0.370
sub-025_task-EyeTracking_physio	4	1089.305	1530.983	441.678	1001.085	688.315	0.096	0.040	0.309	0.297
sub-025_task-EyeTracking_physio	4	1672.653	1989.325	316.672	1686.487	757.128	0.119	0.031	0.236	0.307
sub-025_task-EyeTracking_physio	4	2030.996	2347.667	316.671	1406.992	699.997	0.088	0.022	0.176	0.327
sub-025_task-EyeTracking_physio	4	2364.334	2597.675	233.341	1451.773	664.013	0.090	0.012	0.172	0.196
sub-025_task-EyeTracking_physio	4	2622.674	2839.347	216.673	1286.062	668.293	0.080	0.025	0.253	0.223
sub-025_task-EyeTracking_physio	4	2872.680	3006.018	133.338	1325.320	598.520	0.083	0.010	0.109	0.142
sub-025_task-EyeTracking_physio	5	-1510.653	-735.638	775.015	1270.710	686.200	0.128	0.061	0.345	0.716
sub-025_task-EyeTracking_physio	5	-718.972	289.377	1008.349	1291.985	679.220	0.190	0.096	0.265	1.134
sub-025_task-EyeTracking_physio	5	314.376	522.716	208.340	1238.915	706.490	0.194	0.073	0.275	0.607
sub-025_task-EyeTracking_physio	5	556.051	1039.394	483.343	1596.345	799.345	0.170	0.074	0.356	0.643
sub-025_task-EyeTracking_physio	5	1064.394	1364.404	300.010	1629.688	861.030	0.255	0.087	0.274	0.686
sub-025_task-EyeTracking_physio	5	1447.734	1756.075	308.341	1510.455	578.305	0.098	0.050	0.259	0.528
sub-025_task-EyeTracking_physio	5	1789.410	1997.745	208.335	1224.935	649.895	0.115	0.028	0.314	0.219
sub-025_task-EyeTracking_physio	5	2031.086	2447.759	416.673	1242.828	688.977	0.115	0.047	0.262	0.425
sub-025_task-EyeTracking_physio	5	2456.092	2564.426	108.334	1257.025	695.880	0.132	0.041	0.256	0.301
sub-025_task-EyeTracking_physio	5	2597.761	2972.769	375.008	922.215	866.120	0.151	0.062	0.352	0.567
sub-025_task-EyeTracking_physio	6	-3060.584	-2877.249	183.335	1283.005	647.162	0.085	0.022	0.203	0.267
