stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_amppupofnobgmmut.jpg	1	0.447	0.325	1155.580	861.525	0.202	0.109	0.0	4	shower
sun_amppupofnobgmmut.jpg	2	0.805	0.325	1050.620	788.240	0.169	0.058	0.0	3	shampoo
sun_amppupofnobgmmut.jpg	2	0.805	0.325	1050.620	788.240	0.169	0.058	0.0	4	shower
sun_amppupofnobgmmut.jpg	3	1.272	0.258	1306.385	555.995	0.072	0.031	0.0	4	shower
sun_amppupofnobgmmut.jpg	3	1.272	0.258	1306.385	555.995	0.072	0.031	0.0	6	toilet
sun_amppupofnobgmmut.jpg	4	1.547	0.275	1262.735	556.215	0.131	0.030	0.0	4	shower
sun_amppupofnobgmmut.jpg	5	1.847	0.292	1270.435	615.740	0.093	0.021	0.0	4	shower
sun_amppupofnobgmmut.jpg	5	1.847	0.292	1270.435	615.740	0.093	0.021	0.0	5	toilet paper
sun_amppupofnobgmmut.jpg	6	2.163	0.233	1275.767	596.592	0.081	0.015	0.0	4	shower
sun_amppupofnobgmmut.jpg	6	2.163	0.233	1275.767	596.592	0.081	0.015	0.0	5	toilet paper
sun_amppupofnobgmmut.jpg	6	2.163	0.233	1275.767	596.592	0.081	0.015	0.0	6	toilet
sun_amppupofnobgmmut.jpg	7	2.413	0.258	1278.990	635.590	0.100	0.019	0.0	4	shower
sun_amppupofnobgmmut.jpg	7	2.413	0.258	1278.990	635.590	0.100	0.019	0.0	5	toilet paper
sun_amppupofnobgmmut.jpg	7	2.413	0.258	1278.990	635.590	0.100	0.019	0.0	6	toilet
sun_amppupofnobgmmut.jpg	8	2.697	0.308	1280.595	619.150	0.074	0.014	0.0	4	shower
sun_amppupofnobgmmut.jpg	8	2.697	0.308	1280.595	619.150	0.074	0.014	0.0	5	toilet paper
sun_amppupofnobgmmut.jpg	8	2.697	0.308	1280.595	619.150	0.074	0.014	0.0	6	toilet
