trial	image	fixation_flip_time	image_flip_time	image_stop_time
1	number1.jpg	1553414.0657	1553413.0740
1.553417e+06	2	number2.jpg	1553423.0407	1553422.1574
1.553426e+06	3	number3.jpg	1553437.6658	1553436.5408
1.553441e+06	
