stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_apunwgjjmfutuzff.jpg	1	0.495	0.200	1299.727	736.928	0.109	0.023	0.0	19	soap bottle
sun_apunwgjjmfutuzff.jpg	2	0.762	0.367	1051.820	750.050	0.157	0.173	0.0	9	fruit
sun_apunwgjjmfutuzff.jpg	2	0.762	0.367	1051.820	750.050	0.157	0.173	0.0	21	worktop
sun_apunwgjjmfutuzff.jpg	3	1.145	0.383	1077.142	745.098	0.088	0.021	0.0	9	fruit
sun_apunwgjjmfutuzff.jpg	4	1.554	0.225	965.310	667.695	0.100	0.036	0.0	3	cabinet
sun_apunwgjjmfutuzff.jpg	5	1.795	0.242	962.880	715.280	0.084	0.016	0.0	12	outlet
sun_apunwgjjmfutuzff.jpg	6	2.095	0.167	1323.418	690.132	0.137	0.079	0.0	5	curtain
sun_apunwgjjmfutuzff.jpg	6	2.095	0.167	1323.418	690.132	0.137	0.079	0.0	20	window
sun_apunwgjjmfutuzff.jpg	7	2.312	0.367	1251.320	674.723	0.094	0.062	0.0	20	window
sun_apunwgjjmfutuzff.jpg	8	2.695	0.208	1266.590	663.265	0.107	0.023	0.0	20	window
