Var1,Var2,Var3,Var4,Var5,Var6
sun_alyergctkjrpiwgr.jpg,sun_awvrogxymlfvgbka.jpg,right,left,0,kitchen
sun_abgovsbwwyozjdzp.jpg,sun_aylxqhcpdrwhgdmw.jpg,left,right,0,kitchen
sun_ahrbttcvmcxopgma.jpg,sun_abapwbhyhkfixyex.jpg,right,left,0,bahtroom
sun_ayhqvuklxnmflgid.jpg,sun_alrubxobsiibggnn.jpg,left,left,1,bahtroom
sun_ajieuepqwqsumwkj.jpg,sun_audnevpwzvjeaqoy.jpg,right,right,1,bahtroom
sun_anecxlyzpkjfxrgi.jpg,sun_aamedkxepzlwuxes.jpg,left,right,0,kitchen
sun_awvfnogmotsvhofs.jpg,sun_amswaaduxxcxjira.jpg,right,right,1,bahtroom
sun_ahjhgfuccyykgcqk.jpg,sun_aeimueaxkhrobcmn.jpg,left,right,0,bahtroom
sun_acfmftudsenhrfhy.jpg,sun_ayxsplqvqxvtydyw.jpg,left,left,1,kitchen
sun_agtnmpgkrgkzbvjw.jpg,sun_axopregqgznwqduu.jpg,right,left,0,kitchen
sun_aavzagnbsbymxlyh.jpg,labelme_rykdqxenmhulbdn.jpg,left,right,0,kitchen
sun_ahvpoenucqfbjkep.jpg,sun_avxlcmycjcngnmgn.jpg,left,left,1,kitchen
sun_aclkmsuodfedolnj.jpg,sun_awqcgyxhgldhszxe.jpg,left,right,0,kitchen
sun_ajuvfnxneqoptivg.jpg,sun_adququhqijofxndk.jpg,right,right,1,bahtroom
sun_afsugeohwcfpkvgo.jpg,sun_abwbbibjamkycqvp.jpg,right,left,0,bahtroom
sun_aarrcygkwuzaeiuk.jpg,sun_agnnleubtcanaxzp.jpg,right,right,1,kitchen
sun_auetjleugthejgoc.jpg,sun_aaejiblhhmkhwjky.jpg,right,left,0,bahtroom
sun_azfvmsmpvphupjpu.jpg,sun_adjgnpenryftfwsr.jpg,right,right,1,kitchen
sun_arhwdncltdednobr.jpg,sun_atvabkwxtkmfrgpg.jpg,right,left,0,bahtroom
labelme_mitrosygehdeufb.jpg,sun_aclfzgynxzxlbepz.jpg,left,right,0,bahtroom
sun_ateoptjjakachbou.jpg,sun_afxjcqelwocpxiyf.jpg,left,right,0,kitchen
sun_atnitteqxzjhgjfy.jpg,sun_abdvqhfudneaucdv.jpg,left,left,1,bahtroom
sun_aqgljqwslycnxfzi.jpg,sun_awpnwlxnhcxbltww.jpg,left,left,1,kitchen
sun_ajnzlaendvxbrnmy.jpg,sun_aeckhfhauwooraxm.jpg,left,left,1,bahtroom
sun_afuskngoumwbljpz.jpg,sun_aanjcbzdvtvblsdy.jpg,left,left,1,bahtroom
labelme_ypjbonxtpwcohyk.jpg,sun_aqpammbucicotugq.jpg,left,left,1,bahtroom
sun_awlmntruykfbsame.jpg,sun_anvnteddcdamdehd.jpg,right,right,1,kitchen
