t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
1389101418127	1674.77	597.71	1661.56	576.72	3.8455	3.7349
1389101426459	1613.20	593.81	1622.88	582.63	3.8463	3.7447
1389101434793	1459.13	687.90	1457.13	625.63	3.9313	3.7627
1389101443127	1354.37	664.92	1369.96	629.74	3.8753	3.7229
1389101451460	1339.31	699.06	1337.89	633.60	3.9028	3.7134
1389101459793	1377.51	707.23	1366.31	640.90	3.9136	3.7532
1389101468125	1371.79	686.78	1354.73	625.65	3.8862	3.7133
1389101476459	1368.09	702.80	1347.46	633.19	3.9225	3.7137
1389101484792	1356.94	689.06	1347.40	633.91	3.8752	3.7013
1389101493125	1366.89	717.39	1347.86	629.51	3.9314	3.7058
1389101501459	1362.34	687.30	1351.24	641.56	3.8882	3.7082
1389101509792	1362.48	674.01	1347.26	630.32	3.8489	3.7053
1389101518134	1369.22	719.10	1347.62	645.26	3.9296	3.7198
1389101526471	1365.53	686.18	1347.77	629.86	3.8697	3.6978
1389101534796	1359.11	691.70	1350.17	637.66	3.8863	3.7226
1389101543128	1366.40	712.47	1351.33	640.56	3.9206	3.7065
1389101551470	1361.29	686.51	1353.40	634.89	3.8683	3.7005
1389101559804	1356.98	699.50	1347.08	636.74	3.9129	3.7053
1389101568137	1366.87	718.87	1343.94	637.00	3.9276	3.7204
1389101576470	1367.52	721.51	1347.70	635.96	3.9214	3.7269
1389101584803	1365.56	724.95	1346.03	630.21	3.9350	3.6998
1389101593136	1366.03	701.72	1351.40	636.00	3.8865	3.7057
1389101601470	1366.66	697.93	1345.91	635.94	3.8747	3.7053
1389101609804	1371.47	725.07	1343.85	642.10	3.9441	3.6946
1389101618136	1373.56	727.84	1344.58	633.10	3.9604	3.6861
1389101626469	1380.50	707.81	1345.72	633.30	3.9055	3.6825
1389101634803	1390.85	704.35	1331.57	650.75	3.8893	3.6899
1389101643136	1399.93	690.41	1318.20	608.30	3.8789	3.7568
