stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_ajaqajwbqkwfvnef.jpg	1	0.381	0.133	1220.777	738.398	0.363	0.418	0.0	0	other
sun_ajaqajwbqkwfvnef.jpg	2	0.648	0.258	1482.145	812.720	0.120	0.046	0.0	0	other
sun_ajaqajwbqkwfvnef.jpg	3	0.931	0.217	1548.278	637.695	0.141	0.057	0.0	2	bottle
sun_ajaqajwbqkwfvnef.jpg	4	1.173	0.217	1497.467	646.620	0.094	0.018	0.0	9	shelves
sun_ajaqajwbqkwfvnef.jpg	4	1.173	0.217	1497.467	646.620	0.094	0.018	0.0	12	sponge
sun_ajaqajwbqkwfvnef.jpg	5	1.423	0.242	1119.190	702.290	0.122	0.028	0.0	0	other
sun_ajaqajwbqkwfvnef.jpg	6	1.673	0.200	1125.150	686.975	0.097	0.020	0.0	11	soap dispenser
sun_ajaqajwbqkwfvnef.jpg	7	1.906	0.258	1400.330	597.600	0.098	0.025	0.0	0	other
sun_ajaqajwbqkwfvnef.jpg	8	2.190	0.267	1357.805	571.277	0.089	0.029	0.0	16	tube
sun_ajaqajwbqkwfvnef.jpg	9	2.715	0.175	1213.005	701.875	0.093	0.033	0.0	0	other
