t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
2419103197598	1535.06	919.71	1511.88	920.84	3.5704	3.8408
2419103205932	1528.87	920.49	1515.65	937.85	3.5741	3.7989
2419103214265	1525.82	919.76	1517.97	942.42	3.5890	3.7943
2419103222598	1535.09	927.37	1526.53	947.33	3.6094	3.7993
2419103230931	1525.99	922.38	1528.71	939.85	3.6146	3.8000
2419103239264	1526.84	916.42	1530.95	943.21	3.6026	3.7969
2419103247598	1525.34	919.94	1539.48	942.52	3.6185	3.8219
2419103255931	1527.63	914.59	1537.18	943.81	3.6196	3.8101
2419103264264	1519.11	916.47	1537.90	934.98	3.6188	3.8128
2419103272597	1513.77	924.99	1521.82	934.04	3.6557	3.8233
2419103280935	1422.63	854.46	1433.30	861.35	3.6196	3.8329
2419103289268	1348.72	838.08	1368.26	854.48	3.6119	3.7975
2419103297601	1305.47	789.77	1317.03	794.60	3.5900	3.8442
2419103305934	1297.30	741.04	1311.91	785.75	3.5618	3.8452
2419103314267	1300.05	778.34	1317.85	792.58	3.6201	3.8576
2419103322600	1298.73	793.97	1312.79	764.64	3.6597	3.8472
2419103330933	1291.02	777.70	1310.68	763.22	3.6303	3.8550
2419103339267	1302.06	792.37	1306.51	757.45	3.6762	3.8441
2419103347600	1301.98	779.53	1305.24	757.07	3.6577	3.8653
2419103355934	1297.58	769.28	1307.40	756.22	3.6452	3.8718
2419103364267	1306.53	775.71	1308.20	756.91	3.6790	3.8674
2419103372600	1302.33	772.73	1307.50	759.14	3.6682	3.8666
2419103380933	1296.99	780.57	1308.49	759.01	3.7036	3.8809
2419103389267	1298.88	771.56	1310.89	760.59	3.6793	3.8865
2419103397599	1300.59	763.00	1310.04	758.80	3.6633	3.8836
2419103405932	1305.07	777.93	1304.00	760.67	3.6911	3.8932
2419103414271	1301.59	752.39	1306.50	758.46	3.6409	3.8900
2419103422604	1306.86	765.43	1300.84	752.09	3.6727	3.9055
2419103430938	1306.09	769.04	1300.65	753.79	3.6834	3.8958
2419103439271	1309.31	768.26	1299.08	750.90	3.6761	3.9052
2419103447604	1301.95	776.40	1300.62	747.40	3.6926	3.9146
2419103455938	1307.25	772.48	1300.82	745.99	3.6927	3.9210
2419103464271	1303.30	779.71	1295.94	750.20	3.7060	3.9265
2419103472604	1300.13	782.05	1302.44	749.07	3.6962	3.9477
2419103480937	1299.80	782.95	1294.00	737.66	3.7096	3.9323
2419103489270	1295.40	787.38	1296.43	746.21	3.7332	3.9354
2419103497603	1294.86	781.98	1296.49	740.43	3.7208	3.9326
2419103505937	1293.86	780.04	1298.80	746.81	3.7199	3.9479
2419103514270	1295.96	777.52	1297.79	746.18	3.7149	3.9533
2419103522603	1295.20	782.73	1297.38	748.22	3.7337	3.9615
2419103530937	1295.71	786.52	1295.05	748.91	3.7502	3.9622
2419103539275	1299.04	779.00	1295.55	756.10	3.7398	3.9787
2419103547608	1300.49	783.14	1297.87	749.48	3.7554	3.9756
2419103555941	1304.11	772.25	1296.72	756.63	3.7566	3.9741
2419103564274	1300.98	770.00	1300.72	761.46	3.7474	3.9980
2419103572607	1303.68	783.74	1300.69	759.29	3.7806	3.9960
2419103580940	1303.77	777.94	1296.78	765.51	3.7659	4.0159
2419103589274	1295.53	774.86	1298.96	753.45	3.7692	4.0061
2419103597607	1296.95	784.87	1298.14	751.90	3.7858	4.0276
2419103605941	1292.17	780.80	1300.98	749.20	3.7734	4.0246
2419103614274	1296.74	778.61	1299.89	741.75	3.7825	4.0247
2419103622607	1295.42	774.94	1300.45	750.01	3.7986	4.0391
2419103630940	1294.44	777.59	1300.72	752.07	3.7931	4.0514
2419103639273	1291.55	773.99	1293.74	753.33	3.7898	4.0549
2419103647607	1296.49	775.75	1298.01	746.08	3.8058	4.0695
2419103655940	1293.23	784.02	1297.11	746.30	3.8201	4.0424
2419103664273	1291.92	782.04	1296.58	751.84	3.8180	4.0735
2419103672610	1291.58	778.69	1291.30	744.52	3.8284	4.0704
2419103680944	1291.46	780.58	1291.26	748.63	3.8277	4.0547
2419103689277	1294.96	771.93	1289.79	755.67	3.8229	4.0956
2419103697610	1291.82	769.28	1286.25	754.06	3.8303	4.0946
2419103705944	1299.07	774.23	1286.51	762.36	3.8488	4.1013
2419103714276	1292.86	772.76	1287.37	765.35	3.8493	4.1127
2419103722610	1296.62	765.54	1288.70	759.00	3.8459	4.0917
