stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_aknkhdxyjkyfjvgl.jpg	1	0.208	0.183	1216.420	658.327	0.185	0.101	0.0	0	other
sun_aknkhdxyjkyfjvgl.jpg	2	0.408	0.233	1131.985	644.645	0.152	0.051	0.0	0	other
sun_aknkhdxyjkyfjvgl.jpg	3	0.658	0.192	1066.135	643.705	0.105	0.035	0.0	0	other
sun_aknkhdxyjkyfjvgl.jpg	4	0.875	0.208	985.630	648.370	0.134	0.054	0.0	6	door
sun_aknkhdxyjkyfjvgl.jpg	5	1.108	0.275	921.675	659.795	0.109	0.033	0.0	6	door
sun_aknkhdxyjkyfjvgl.jpg	6	1.416	0.200	1141.262	840.765	0.213	0.087	0.0	1	bathtub
sun_aknkhdxyjkyfjvgl.jpg	7	1.633	0.200	1233.395	852.110	0.266	0.133	0.0	1	bathtub
sun_aknkhdxyjkyfjvgl.jpg	8	1.858	0.192	1353.125	835.805	0.223	0.089	0.0	5	curtain
sun_aknkhdxyjkyfjvgl.jpg	9	2.066	0.217	1442.852	785.485	0.251	0.148	0.0	12	toilet crop
sun_aknkhdxyjkyfjvgl.jpg	10	2.300	0.233	1523.283	665.075	0.180	0.116	0.0	0	other
sun_aknkhdxyjkyfjvgl.jpg	11	2.550	0.225	1484.410	625.025	0.142	0.051	0.0	2	bottle
sun_aknkhdxyjkyfjvgl.jpg	12	2.791	0.217	1427.895	570.830	0.124	0.032	0.0	3	cabinet
sun_aknkhdxyjkyfjvgl.jpg	12	2.791	0.217	1427.895	570.830	0.124	0.032	0.0	5	curtain
