trial	image	image_flip_time	fixation_flip_time
1	number2.jpg	2169894.3459	2169897.3434
2	number1.jpg	2169898.3533	2169901.3522
3	number3.jpg	2169902.3616	2169905.3603
4	number2.jpg	2169909.2504	2169912.2478
5	number3.jpg	2169913.2573	2169916.2557
6	number1.jpg	2169925.3718	2169928.3693
