stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
labelme_qglnhnudtmzmocz.jpg	1	0.343	0.308	1471.495	606.780	0.188	0.062	0.0	5	cabinet
labelme_qglnhnudtmzmocz.jpg	2	0.668	0.167	1504.438	564.938	0.153	0.024	0.0	18	pan
labelme_qglnhnudtmzmocz.jpg	3	0.868	0.467	1137.142	576.090	0.161	0.087	0.0	5	cabinet
labelme_qglnhnudtmzmocz.jpg	4	1.360	0.208	1078.965	615.820	0.125	0.040	0.0	5	cabinet
labelme_qglnhnudtmzmocz.jpg	4	1.360	0.208	1078.965	615.820	0.125	0.040	0.0	13	flowers
labelme_qglnhnudtmzmocz.jpg	5	1.918	0.125	1035.000	633.145	0.088	0.026	0.0	13	flowers
labelme_qglnhnudtmzmocz.jpg	5	1.918	0.125	1035.000	633.145	0.088	0.026	0.0	35	window
labelme_qglnhnudtmzmocz.jpg	5	1.918	0.125	1035.000	633.145	0.088	0.026	0.0	38	wreath
labelme_qglnhnudtmzmocz.jpg	6	2.060	0.258	926.420	584.035	0.221	0.074	0.0	5	cabinet
labelme_qglnhnudtmzmocz.jpg	7	2.352	0.167	1054.467	608.848	0.147	0.046	0.0	13	flowers
labelme_qglnhnudtmzmocz.jpg	8	2.618	0.383	1472.590	751.007	0.163	0.086	0.0	4	bowl
labelme_qglnhnudtmzmocz.jpg	8	2.618	0.383	1472.590	751.007	0.163	0.086	0.0	11	cutting board
