,102,103,104,105,106,107,108,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
102,0.0,0.2622813554211505,0.22472161345779462,0.22220210557787157,0.19032805250060725,0.2449030681727149,0.22978085513759028,0.19901633682125153,0.2608307615817831,0.26457721588662164,0.2224019309117543,0.2475104336341869,0.22843589106581774,0.23589663291282503,0.286142268564613,0.26668534087311124,0.23181092754399957,0.1876672512712526,0.323959265156168,0.2282591725540386,0.28371090635645424,0.22903126426543285,0.3339317066448465,0.23557345529602802,0.20590224928124468,0.2106110540493802,0.2029457780835906,0.25839338921568256,0.2409114093579967,0.2032578095892954,0.2117906344692274,0.23193011742000869,0.261571441525554,0.2228402353391088
103,0.2622813554211505,0.0,0.2573464395705143,0.23408595610665428,0.22770019806301656,0.2351336706810151,0.20155543483582106,0.25220792341075926,0.25175169778517825,0.25553002082832643,0.21217422162394817,0.23566004130697116,0.25181184903532294,0.3247258930876149,0.2914744409539831,0.21989882430581786,0.2637662021937136,0.2568281553388798,0.31625044783127276,0.26506357177507445,0.2668272302712642,0.2856335012442318,0.2791592498337422,0.28742742908132835,0.24215452857155573,0.23605998999909727,0.2816700255998952,0.283368585641552,0.2840072816490745,0.2378390464205924,0.26317404765719477,0.22409622920505212,0.25100699451253705,0.26407984303096654
104,0.22472161345779462,0.2573464395705143,0.0,0.22912561877804594,0.19780304984620356,0.25408124493755946,0.22673208579541193,0.1970281765741091,0.27386646633071765,0.22644768114794855,0.2317645648876122,0.24000485898917767,0.24402887331532797,0.24700383195749387,0.2897785929340093,0.25158171462395207,0.26880950950435445,0.22865779007068665,0.3031629365142944,0.22754617907338104,0.2380544683626875,0.226473867555113,0.30448808196607713,0.26219750130018094,0.19979187568108492,0.21460031873506713,0.20283139633393477,0.2774251454199934,0.21717039141486394,0.23652870284539373,0.23487314771899304,0.23034614774506024,0.21775586027155658,0.2498959000907902
105,0.22220210557787157,0.23408595610665428,0.22912561877804594,0.0,0.19958682498674385,0.19964517815657867,0.16706661535879286,0.2185509395953099,0.21272072876254566,0.2575171181219156,0.19540972548062185,0.17959364219465457,0.22659457735536204,0.270806372062831,0.26976604849261665,0.2589868153228072,0.2513236950665605,0.21580378084035556,0.30529357227416587,0.21815128892754465,0.26905721741886424,0.24731063810274034,0.29539276590766617,0.24374300834849683,0.2033642638909552,0.19648711334716806,0.2028495360833591,0.25253040563738116,0.20503687594493591,0.2126197382408329,0.2150227881347203,0.22003352138273125,0.23201608751393954,0.1953333716393979
106,0.19032805250060725,0.22770019806301656,0.19780304984620356,0.19958682498674385,0.0,0.21087354397218305,0.18307773572057995,0.14127985886202066,0.20604620498163218,0.20944510327696464,0.14813013754261362,0.21448058248106316,0.20684249627111917,0.22274908955544614,0.24796974877897426,0.2228723524310523,0.1764061127101112,0.16013945632727167,0.30878726218450747,0.17966389647062853,0.24890117424777058,0.18764966783396853,0.32464239659587824,0.25894478395379616,0.18585509427742375,0.1559382963210919,0.1848745543939757,0.21122419943504112,0.24658658791829902,0.16382657398188516,0.1640428204580452,0.19106124209877817,0.22572339254401852,0.2353712755696955
107,0.2449030681727149,0.2351336706810151,0.25408124493755946,0.19964517815657867,0.21087354397218305,0.0,0.1756134573178253,0.22271907850231865,0.2231362430683509,0.2695499808310733,0.19782712028040672,0.19366418686556586,0.20514854567290874,0.2912081561876534,0.28234221954556604,0.25082130546749937,0.24858246699638487,0.2333716910553909,0.3079371377613237,0.20377999794005552,0.2953447740514402,0.25174975069268823,0.3340416378973817,0.2601052312096832,0.2286124605654165,0.18749036387900242,0.23570576817805544,0.22404089601540644,0.27080509055807966,0.21922507069932573,0.21808857466789755,0.24873850261752795,0.26921451467646795,0.204735295160148
108,0.22978085513759028,0.20155543483582106,0.22673208579541193,0.16706661535879286,0.18307773572057995,0.1756134573178253,0.0,0.16812993647551144,0.2193499329723344,0.24916188595855437,0.15022363946713568,0.13366395559866184,0.21207418478019002,0.2546831349365295,0.2613050276153346,0.23437673847543772,0.24834508065890248,0.22042143982482854,0.27904450052070806,0.19221390098470426,0.23575038242485968,0.22944106762975425,0.306345508860304,0.23423620012105362,0.2062679748426114,0.15395774562929398,0.19918558485572124,0.24419771404983792,0.20025811492518697,0.1879243270848353,0.22415134384350022,0.20763870808744334,0.21532518351942764,0.19242704800751254
110,0.19901633682125153,0.25220792341075926,0.1970281765741091,0.2185509395953099,0.14127985886202066,0.22271907850231865,0.16812993647551144,0.0,0.23741524584546092,0.22754115239582973,0.17553825583746274,0.18829506938960805,0.2117738855001533,0.24513946109566154,0.2809346504897454,0.24159902109726372,0.23582906085609767,0.19354862295261244,0.28720152661588016,0.19163295216414955,0.24522687164066936,0.20510772626963147,0.3388930075855545,0.2644178324584927,0.17510093489049872,0.1697739282567149,0.19739344516478907,0.23571009946543164,0.2474880321364039,0.19438134275312835,0.2020040111694762,0.21182583114623177,0.22899011703535854,0.22041011489911988
111,0.2608307615817831,0.25175169778517825,0.27386646633071765,0.21272072876254566,0.20604620498163218,0.2231362430683509,0.2193499329723344,0.23741524584546092,0.0,0.2363457357561839,0.19724356871376836,0.2169184118178501,0.2406163950432907,0.29171330747912405,0.2786901296874862,0.26917749011671743,0.22362017502533615,0.23488299245704314,0.32297985776529103,0.2261038007722248,0.3241753328177114,0.26704028788676426,0.33275756020251046,0.31130871715692066,0.25762043323364214,0.19787055236391327,0.2374236203299981,0.2589439196831501,0.30720560716542744,0.22905513601672878,0.21718021628462336,0.23360563024443393,0.2741041407584155,0.2702939688452486
