t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
854062846975	1298.68	715.43	1307.46	714.15	4.0409	4.2863
854062855309	1299.35	725.38	1297.01	712.06	4.0468	4.2864
854062863641	1300.48	720.31	1302.95	711.03	4.0380	4.2939
854062871978	1307.01	719.89	1306.43	714.97	4.0321	4.2941
854062880312	1305.05	722.59	1310.07	717.08	4.0378	4.2795
854062888644	1309.38	724.79	1302.90	716.56	4.0304	4.2819
854062896978	1300.83	724.21	1302.38	700.51	4.0190	4.2551
854062905311	1303.22	725.60	1303.56	706.71	4.0260	4.2748
854062913644	1307.35	720.35	1301.22	714.25	4.0168	4.2657
854062921977	1300.76	719.61	1302.40	708.99	4.0040	4.2748
854062930310	1307.40	721.67	1304.74	708.75	4.0003	4.2666
854062938644	1301.93	729.16	1299.76	714.67	4.0099	4.2865
854062946977	1300.25	716.30	1300.03	712.87	4.0047	4.2704
854062955310	1304.65	721.34	1300.78	710.97	3.9876	4.2488
854062963644	1304.40	725.15	1294.55	712.45	4.0157	4.2588
854062971977	1307.04	718.21	1298.47	712.58	3.9971	4.2562
854062980311	1305.90	723.34	1296.35	708.95	4.0053	4.2581
854062988643	1306.00	721.38	1300.98	708.10	4.0136	4.2466
854062996980	1306.07	721.88	1298.19	714.17	3.9935	4.2579
854063005314	1305.36	722.73	1296.91	711.74	4.0049	4.2572
854063013646	1309.00	718.93	1301.19	712.08	3.9948	4.2533
854063021980	1306.39	718.19	1296.65	712.60	3.9950	4.2507
854063030314	1305.28	723.37	1295.01	715.72	4.0051	4.2542
854063038646	1297.83	726.37	1295.30	711.88	4.0286	4.2676
854063046980	1304.71	717.51	1302.13	714.34	3.9892	4.2661
854063055313	1305.55	723.47	1301.44	713.89	3.9988	4.2625
854063063646	1304.27	719.65	1306.69	718.68	4.0134	4.2651
854063071979	1301.44	719.37	1303.29	711.11	4.0166	4.2465
854063080312	1303.61	715.62	1303.45	711.93	3.9942	4.2682
854063088646	1303.46	721.66	1311.09	720.29	4.0079	4.2725
854063096979	1302.96	719.34	1307.06	714.21	4.0069	4.2630
854063105313	1300.69	719.00	1302.24	708.20	3.9966	4.2656
854063113646	1297.89	716.03	1302.01	717.40	4.0183	4.2883
854063121979	1301.98	715.21	1297.07	709.63	4.0011	4.2643
854063130318	1298.12	723.73	1303.53	709.01	4.0347	4.2709
854063138649	1302.50	722.58	1303.26	715.61	4.0338	4.2817
854063146983	1308.43	715.42	1302.64	710.04	4.0183	4.2858
854063155317	1305.21	719.93	1303.26	710.31	4.0326	4.3038
854063163649	1304.78	720.11	1295.77	712.61	4.0301	4.3029
