stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_apaxvwendkkxoteh.jpg	1	0.280	0.183	1364.140	834.497	0.142	0.068	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	2	0.497	0.192	1551.110	590.895	0.143	0.041	0.0	6	mirror
sun_apaxvwendkkxoteh.jpg	3	0.714	0.267	1382.217	797.652	0.196	0.116	0.0	0	other
sun_apaxvwendkkxoteh.jpg	4	0.997	0.225	1244.935	809.855	0.156	0.072	0.0	1	box
sun_apaxvwendkkxoteh.jpg	4	0.997	0.225	1244.935	809.855	0.156	0.072	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	5	1.247	0.800	1354.015	790.105	0.143	0.069	0.0	0	other
sun_apaxvwendkkxoteh.jpg	6	2.072	0.158	1224.700	832.940	0.163	0.049	0.0	1	box
sun_apaxvwendkkxoteh.jpg	6	2.072	0.158	1224.700	832.940	0.163	0.049	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	7	2.264	0.158	1172.645	834.225	0.126	0.023	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	7	2.264	0.158	1172.645	834.225	0.126	0.023	0.0	5	glass
sun_apaxvwendkkxoteh.jpg	8	2.447	0.333	1334.592	800.507	0.133	0.034	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	8	2.447	0.333	1334.592	800.507	0.133	0.034	0.0	8	soap
sun_apaxvwendkkxoteh.jpg	9	2.805	0.167	1140.573	769.130	0.150	0.041	0.0	4	countertop
sun_apaxvwendkkxoteh.jpg	9	2.805	0.167	1140.573	769.130	0.150	0.041	0.0	5	glass
