Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-003_task-EyeTracking_physio	1	-1097.138	311.230	1408.368	1277.455	721.890	0.106	0.048	0.393	0.468
sub-003_task-EyeTracking_physio	1	344.563	494.565	150.002	1176.815	821.560	0.109	0.033	0.228	0.379
sub-003_task-EyeTracking_physio	1	527.898	811.240	283.342	1154.692	540.340	0.176	0.046	0.178	0.609
sub-003_task-EyeTracking_physio	1	836.239	1027.909	191.670	1396.405	772.995	0.118	0.041	0.218	0.466
sub-003_task-EyeTracking_physio	1	1044.576	1236.249	191.673	1367.270	833.400	0.106	0.037	0.211	0.417
sub-003_task-EyeTracking_physio	1	1261.249	1452.922	191.673	1184.020	589.055	0.125	0.049	0.328	0.421
sub-003_task-EyeTracking_physio	1	1652.925	1986.267	333.342	1223.255	536.865	0.624	0.634	0.568	3.660
sub-003_task-EyeTracking_physio	1	2036.266	2386.276	350.010	1341.450	818.625	0.094	0.020	0.194	0.325
sub-003_task-EyeTracking_physio	1	2402.942	2636.282	233.340	1351.653	842.580	0.094	0.034	0.279	0.332
sub-003_task-EyeTracking_physio	1	2661.281	2819.615	158.334	1131.785	840.650	0.127	0.039	0.345	0.261
sub-003_task-EyeTracking_physio	1	2844.615	3002.951	158.336	1151.320	554.460	0.146	0.043	0.301	0.431
sub-003_task-EyeTracking_physio	2	-1385.783	414.257	1800.040	1274.253	734.897	0.100	0.063	0.462	0.596
sub-003_task-EyeTracking_physio	2	447.590	597.592	150.002	1265.220	671.327	0.115	0.030	0.147	0.304
sub-003_task-EyeTracking_physio	2	630.929	905.936	275.007	1534.095	590.955	0.200	0.060	0.280	0.536
sub-003_task-EyeTracking_physio	2	930.935	1147.607	216.672	1406.257	610.340	0.217	0.063	0.248	0.519
sub-003_task-EyeTracking_physio	2	1172.607	1572.615	400.008	1312.782	652.530	0.114	0.022	0.228	0.361
sub-003_task-EyeTracking_physio	2	1589.282	1830.954	241.672	1326.190	645.365	0.094	0.018	0.156	0.194
sub-003_task-EyeTracking_physio	2	1855.953	2080.960	225.007	1126.145	648.190	0.113	0.018	0.268	0.156
sub-003_task-EyeTracking_physio	2	2105.960	2530.967	425.007	1315.775	651.805	0.122	0.046	0.373	0.329
sub-003_task-EyeTracking_physio	2	2547.634	3005.978	458.344	1313.700	679.500	0.140	0.049	0.312	0.511
sub-003_task-EyeTracking_physio	3	-953.651	-711.983	241.668	1277.515	710.640	0.104	0.024	0.161	0.250
sub-003_task-EyeTracking_physio	3	-695.315	-528.642	166.673	1263.017	731.425	0.106	0.017	0.127	0.231
sub-003_task-EyeTracking_physio	3	-270.304	346.374	616.678	1270.447	748.857	0.093	0.028	0.248	0.445
sub-003_task-EyeTracking_physio	3	363.044	563.044	200.000	1403.955	860.467	0.143	0.047	0.281	0.671
sub-003_task-EyeTracking_physio	3	588.044	996.388	408.344	1534.370	642.330	0.147	0.041	0.243	0.465
sub-003_task-EyeTracking_physio	3	1013.058	1296.397	283.339	1600.193	626.845	0.132	0.033	0.274	0.520
sub-003_task-EyeTracking_physio	3	1321.396	1663.074	341.678	1442.865	639.460	0.147	0.041	0.276	0.494
sub-003_task-EyeTracking_physio	3	1688.074	1921.410	233.336	1597.148	641.023	0.125	0.032	0.323	0.301
sub-003_task-EyeTracking_physio	3	1954.744	2179.745	225.001	1253.145	741.820	0.115	0.029	0.283	0.249
sub-003_task-EyeTracking_physio	3	2196.417	2438.087	241.670	1172.935	794.305	0.108	0.026	0.215	0.287
sub-003_task-EyeTracking_physio	3	2463.090	2629.759	166.669	1264.497	789.855	0.103	0.019	0.217	0.202
sub-003_task-EyeTracking_physio	3	2663.092	2879.765	216.673	1422.630	653.500	0.157	0.038	0.216	0.506
sub-003_task-EyeTracking_physio	3	2904.764	3004.769	100.005	1595.197	596.600	0.119	0.038	0.194	0.322
sub-003_task-EyeTracking_physio	4	-2962.646	-2779.308	183.338	1299.537	701.787	0.133	0.046	0.398	0.365
sub-003_task-EyeTracking_physio	4	-2762.642	-2145.960	616.682	1270.023	735.290	0.082	0.017	0.240	0.192
sub-003_task-EyeTracking_physio	4	-2120.960	-1929.292	191.668	1272.725	724.705	0.096	0.016	0.157	0.204
sub-003_task-EyeTracking_physio	4	-1912.625	-1629.282	283.343	1270.385	748.942	0.086	0.014	0.194	0.187
sub-003_task-EyeTracking_physio	4	-1604.282	-1312.610	291.672	1295.315	661.345	0.106	0.021	0.223	0.273
sub-003_task-EyeTracking_physio	4	-1287.610	-1045.940	241.670	1256.785	688.260	0.086	0.022	0.222	0.247
sub-003_task-EyeTracking_physio	4	-1029.274	304.090	1333.364	1269.650	746.253	0.087	0.035	0.396	0.367
sub-003_task-EyeTracking_physio	4	337.432	537.431	199.999	1403.545	731.582	0.106	0.031	0.220	0.294
sub-003_task-EyeTracking_physio	4	570.764	762.437	191.673	1354.890	598.390	0.121	0.045	0.168	0.544
sub-003_task-EyeTracking_physio	4	962.439	1179.113	216.674	1336.442	558.825	0.735	0.335	0.304	3.564
sub-003_task-EyeTracking_physio	4	1195.780	1495.786	300.006	1292.868	529.720	0.159	0.078	0.348	0.487
sub-003_task-EyeTracking_physio	4	1545.790	1887.463	341.673	1588.285	665.570	0.118	0.034	0.279	0.336
sub-003_task-EyeTracking_physio	4	1920.800	2154.139	233.339	1342.178	646.312	0.120	0.033	0.463	0.225
sub-003_task-EyeTracking_physio	4	2179.138	2354.142	175.004	1258.575	482.865	0.157	0.043	0.188	0.532
sub-003_task-EyeTracking_physio	4	2379.143	2670.814	291.671	1463.625	289.310	0.173	0.069	0.310	0.756
sub-003_task-EyeTracking_physio	4	2704.152	2929.153	225.001	1247.790	559.855	0.169	0.038	0.194	0.609
sub-003_task-EyeTracking_physio	5	-1737.407	-1370.731	366.676	1260.965	728.590	0.112	0.031	0.354	0.300
sub-003_task-EyeTracking_physio	5	-1345.732	-1145.730	200.002	1288.872	716.547	0.086	0.022	0.156	0.265
sub-003_task-EyeTracking_physio	5	-1129.063	287.639	1416.702	1262.655	734.415	0.088	0.047	0.508	0.326
sub-003_task-EyeTracking_physio	5	304.306	470.979	166.673	1245.918	707.817	0.082	0.028	0.222	0.269
sub-003_task-EyeTracking_physio	5	504.312	729.317	225.005	1496.520	555.010	0.110	0.040	0.286	0.354
sub-003_task-EyeTracking_physio	5	845.987	1137.660	291.673	1470.560	226.650	0.100	0.033	0.253	0.355
sub-003_task-EyeTracking_physio	5	1170.994	1370.998	200.004	1284.832	591.173	0.147	0.047	0.202	0.493
sub-003_task-EyeTracking_physio	5	1387.665	2012.676	625.011	1249.030	691.380	0.087	0.048	0.406	0.337
sub-003_task-EyeTracking_physio	5	2046.013	2187.683	141.670	1399.485	636.835	0.094	0.029	0.247	0.296
sub-003_task-EyeTracking_physio	5	2212.683	2504.354	291.671	1490.130	585.195	0.158	0.049	0.361	0.438
sub-003_task-EyeTracking_physio	5	2546.026	2704.362	158.336	1284.990	665.425	0.087	0.021	0.316	0.238
sub-003_task-EyeTracking_physio	5	2721.029	3004.364	283.335	1248.553	700.688	0.080	0.013	0.216	0.193
sub-003_task-EyeTracking_physio	6	-1359.519	-1059.508	300.011	1268.235	727.055	0.070	0.015	0.204	0.198
sub-003_task-EyeTracking_physio	6	-701.172	-242.827	458.345	1259.935	749.815	0.081	0.103	0.571	0.538
sub-003_task-EyeTracking_physio	6	-226.160	340.518	566.678	1272.368	732.062	0.090	0.023	0.243	0.300
sub-003_task-EyeTracking_physio	6	365.517	573.859	208.342	1520.255	795.955	0.116	0.040	0.181	0.483
sub-003_task-EyeTracking_physio	6	607.193	948.868	341.675	1273.520	634.555	0.097	0.024	0.164	0.434
sub-003_task-EyeTracking_physio	6	965.534	1182.205	216.671	1249.070	608.223	0.120	0.023	0.205	0.224
sub-003_task-EyeTracking_physio	6	1207.205	1407.211	200.006	1172.218	599.915	0.125	0.031	0.199	0.314
sub-003_task-EyeTracking_physio	6	1432.214	1723.885	291.671	1020.200	604.115	0.135	0.030	0.258	0.347
sub-003_task-EyeTracking_physio	6	1748.885	2048.892	300.007	1310.503	778.680	0.139	0.044	0.333	0.478
sub-003_task-EyeTracking_physio	6	2082.226	2382.237	300.011	1498.093	784.435	0.088	0.017	0.265	0.189
sub-003_task-EyeTracking_physio	6	2415.570	2632.242	216.672	1325.265	722.712	0.105	0.020	0.285	0.168
sub-003_task-EyeTracking_physio	6	2648.909	2915.581	266.672	1287.987	746.370	0.087	0.022	0.248	0.221
sub-003_task-EyeTracking_physio	7	-1238.033	-1021.365	216.668	1266.293	676.268	0.136	0.029	0.199	0.346
sub-003_task-EyeTracking_physio	7	-1004.698	-629.688	375.010	1259.715	737.570	0.110	0.044	0.428	0.369
