stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_arhwdncltdednobr.jpg	1	0.338	0.267	1354.597	664.808	0.158	0.091	0.0	6	plant
sun_arhwdncltdednobr.jpg	1	0.338	0.267	1354.597	664.808	0.158	0.091	0.0	7	plantpot
sun_arhwdncltdednobr.jpg	2	0.621	0.433	1451.068	665.152	0.271	0.135	0.0	5	mirror
sun_arhwdncltdednobr.jpg	3	1.071	0.300	1440.662	757.010	0.424	0.221	0.0	4	countertop
sun_arhwdncltdednobr.jpg	3	1.071	0.300	1440.662	757.010	0.424	0.221	0.0	8	sink
sun_arhwdncltdednobr.jpg	4	1.396	0.258	1191.585	848.310	0.146	0.079	0.0	2	bathtub
sun_arhwdncltdednobr.jpg	5	1.688	0.275	1146.570	781.810	0.124	0.040	0.0	0	other
sun_arhwdncltdednobr.jpg	6	1.988	0.375	1059.235	763.075	0.214	0.143	0.0	0	other
sun_arhwdncltdednobr.jpg	7	2.454	0.400	1619.980	809.895	0.184	0.056	0.0	4	countertop
sun_arhwdncltdednobr.jpg	8	2.871	0.133	1605.077	842.933	0.187	0.052	0.0	3	cabinet crop
sun_arhwdncltdednobr.jpg	8	2.871	0.133	1605.077	842.933	0.187	0.052	0.0	4	countertop
