t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
687999936261	1466.18	267.21	1452.45	194.29	4.3378	4.2211
687999944595	1472.42	254.92	1455.10	197.65	4.3123	4.2176
687999952927	1472.44	253.97	1456.18	193.40	4.3139	4.2337
687999961260	1462.48	218.26	1454.84	190.43	4.2597	4.2239
687999969594	1463.08	195.32	1458.80	173.13	4.2192	4.1978
687999977927	1463.52	238.89	1456.05	179.27	4.3007	4.1922
687999986260	1462.04	211.29	1459.77	182.22	4.2516	4.2152
687999994594	1462.82	243.38	1454.95	200.70	4.2849	4.2058
688000002927	1471.22	251.97	1465.19	205.45	4.2941	4.1928
688000011261	1466.55	277.82	1448.07	231.09	4.2826	4.2194
688000019594	1385.26	330.78	1403.40	279.49	4.3156	4.2344
688000027926	1326.49	367.95	1327.91	350.21	4.3179	4.2957
688000036259	1281.08	424.78	1281.56	389.40	4.2623	4.2521
688000044593	1305.44	496.36	1296.89	454.76	4.2388	4.2591
688000052927	1281.60	541.08	1271.91	495.42	4.2343	4.2507
688000061259	1263.80	589.20	1259.23	557.36	4.2226	4.2638
688000069597	1285.39	606.22	1268.76	605.97	4.2068	4.2893
688000077929	1267.08	612.02	1257.07	642.75	4.1853	4.2545
688000086263	1273.88	681.28	1254.44	688.39	4.1752	4.2588
688000094597	1268.28	733.64	1249.08	726.00	4.1914	4.2623
688000102929	1280.90	734.56	1253.45	751.06	4.1923	4.2735
688000111262	1267.59	757.19	1263.89	762.65	4.1995	4.2761
688000119596	1280.68	769.61	1266.94	774.94	4.2017	4.2958
688000127929	1270.05	747.37	1259.35	768.20	4.2182	4.2885
688000136263	1274.38	756.89	1272.31	774.59	4.2128	4.2851
688000144595	1276.58	767.25	1256.68	763.12	4.1954	4.2889
688000152929	1272.10	772.87	1257.55	745.02	4.2124	4.2817
688000161262	1279.99	749.16	1258.96	761.04	4.2104	4.2806
688000169596	1275.10	754.04	1269.56	763.56	4.2022	4.2586
688000177928	1274.48	782.19	1267.28	742.65	4.2173	4.2653
688000186261	1273.35	774.90	1266.64	744.56	4.2004	4.2521
688000194599	1282.14	768.93	1259.89	755.48	4.1926	4.2845
688000202931	1279.91	770.10	1261.55	748.60	4.2082	4.2735
688000211264	1273.79	774.84	1257.26	749.03	4.1995	4.2554
688000219598	1281.62	744.06	1246.59	738.79	4.2152	4.2574
688000227931	1283.00	760.05	1250.39	762.90	4.2204	4.2497
688000236264	1276.22	774.48	1251.68	756.89	4.2018	4.2405
688000244598	1280.74	741.39	1252.14	743.95	4.2374	4.2444
688000252931	1278.50	749.85	1255.43	746.62	4.2296	4.2283
688000261265	1274.59	770.67	1256.90	767.99	4.2236	4.2477
688000269598	1267.82	781.35	1251.60	767.66	4.2268	4.2301
688000277931	1267.10	781.29	1254.84	770.06	4.2336	4.2225
688000286263	1269.97	782.16	1252.69	761.16	4.2490	4.2347
688000294597	1277.31	766.91	1248.50	767.48	4.2282	4.2234
688000302930	1278.34	765.38	1259.26	761.02	4.2582	4.2194
688000311263	1272.31	753.08	1255.06	756.67	4.2440	4.2237
688000319597	1278.58	758.32	1259.83	754.49	4.2587	4.1999
688000327935	1285.06	755.89	1251.49	763.36	4.2600	4.2099
688000336269	1277.93	776.01	1251.98	758.36	4.2555	4.2165
688000344603	1275.56	773.59	1249.77	749.34	4.2538	4.2056
688000352936	1270.61	755.75	1248.64	748.88	4.2905	4.2278
688000361268	1265.43	762.79	1251.39	767.05	4.2729	4.2240
688000369601	1279.66	770.01	1242.32	763.83	4.2984	4.2308
688000377935	1272.52	779.81	1247.30	746.15	4.3010	4.2154
688000386270	1271.21	746.55	1246.02	743.97	4.3016	4.2196
688000394601	1264.52	742.39	1252.77	753.19	4.2997	4.2289
688000402935	1262.63	751.56	1247.65	767.34	4.3072	4.2340
688000411268	1263.52	764.24	1236.75	767.77	4.3268	4.2508
688000419601	1270.27	757.33	1237.90	769.00	4.3214	4.2543
