stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_aaslbwtcdcwjukuo.jpg	1	0.327	0.258	1224.590	639.155	0.180	0.080	0.0	12	paper towels
sun_aaslbwtcdcwjukuo.jpg	2	0.619	0.242	1524.595	603.655	0.097	0.082	0.0	0	other
sun_aaslbwtcdcwjukuo.jpg	3	0.877	0.350	1602.308	609.612	0.171	0.334	0.0	14	refrigerator
sun_aaslbwtcdcwjukuo.jpg	4	1.344	0.283	1558.940	803.153	0.806	1.154	0.0	6	cabinet
sun_aaslbwtcdcwjukuo.jpg	5	1.636	0.208	1563.615	817.630	0.182	0.068	0.0	6	cabinet
sun_aaslbwtcdcwjukuo.jpg	5	1.636	0.208	1563.615	817.630	0.182	0.068	0.0	14	refrigerator
sun_aaslbwtcdcwjukuo.jpg	6	1.861	0.217	1527.430	719.997	0.119	0.068	0.0	17	sink
sun_aaslbwtcdcwjukuo.jpg	6	1.861	0.217	1527.430	719.997	0.119	0.068	0.0	19	worktop
sun_aaslbwtcdcwjukuo.jpg	7	2.094	0.208	1463.100	697.985	0.379	0.430	0.0	17	sink
sun_aaslbwtcdcwjukuo.jpg	7	2.094	0.208	1463.100	697.985	0.379	0.430	0.0	19	worktop
sun_aaslbwtcdcwjukuo.jpg	8	2.336	0.200	1186.765	617.240	0.163	0.109	0.0	4	bottle
sun_aaslbwtcdcwjukuo.jpg	9	2.569	0.175	1095.870	563.605	0.141	0.033	0.0	11	microwave
sun_aaslbwtcdcwjukuo.jpg	10	2.777	0.233	988.648	538.175	0.158	0.095	0.0	11	microwave
