t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
6628990523	1187.43	663.96	1257.82	662.07	3.0324	2.9556
6628998855	1202.69	692.92	1248.38	642.92	3.0901	2.9613
6629007189	1195.07	682.60	1257.40	641.39	3.0683	2.9404
6629015522	1204.28	667.71	1249.72	646.21	3.0531	2.9657
6629023855	1211.23	698.32	1255.86	649.16	3.1038	2.9661
6629032189	1201.57	677.81	1247.79	639.92	3.0630	2.9472
6629040522	1190.96	663.95	1252.01	655.29	3.0161	2.9899
6629048855	1196.95	655.08	1249.98	649.91	2.9917	2.9437
6629057191	1217.04	655.11	1281.94	664.93	2.9759	2.9844
6629065524	1266.22	644.47	1312.79	650.75	2.9759	2.9758
6629073858	1283.81	657.91	1307.50	641.86	3.0501	2.9616
6629082190	1264.63	666.78	1301.04	642.17	3.0463	2.9375
6629090523	1266.91	669.67	1303.25	639.76	3.0460	2.9524
6629098856	1269.69	662.75	1296.56	637.10	3.0413	2.9453
6629107189	1278.35	657.03	1303.33	654.44	3.0015	2.9570
6629115523	1264.43	657.10	1304.63	650.93	3.0430	2.9644
6629123856	1273.38	679.22	1295.72	657.10	3.0821	2.9600
6629132189	1271.80	657.63	1293.24	640.49	3.0465	2.9564
6629140523	1266.53	657.64	1302.83	644.64	3.0165	2.9469
6629148856	1269.84	674.04	1307.72	639.83	3.0513	2.9359
6629157190	1264.93	669.58	1308.44	643.25	3.0336	2.9444
6629165523	1270.64	607.65	1305.25	646.33	2.9187	2.9376
6629173855	1258.26	605.93	1312.85	646.67	2.9261	2.9426
6629182188	1262.54	637.57	1311.11	638.85	2.9942	2.9183
6629190529	1263.13	646.59	1308.57	640.96	2.9908	2.9321
6629198863	1266.95	622.92	1303.71	630.93	2.9469	2.9327
6629207195	1265.44	642.86	1300.44	640.54	3.0054	2.9395
6629215529	1267.87	672.20	1304.90	646.81	3.0182	2.9412
6629223862	1260.35	638.73	1303.28	636.54	2.9669	2.9344
6629232195	1267.83	642.82	1306.76	632.28	2.9849	2.9197
6629240529	1266.37	657.38	1308.01	637.78	3.0000	2.9030
6629248862	1261.54	634.11	1304.50	642.24	2.9540	2.9452
6629257194	1271.30	643.05	1311.74	641.46	2.9894	2.9420
6629265528	1261.01	638.49	1306.03	637.60	2.9979	2.9242
6629273861	1259.14	621.01	1302.57	638.95	2.9326	2.9328
6629282195	1265.41	649.72	1304.35	641.93	3.0032	2.9430
6629290528	1275.91	652.15	1304.73	638.89	2.9936	2.9372
6629298861	1257.71	638.41	1303.01	634.77	2.9541	2.9279
6629307194	1265.55	661.99	1319.69	638.69	3.0660	2.9494
6629315528	1263.98	667.68	1299.95	634.72	3.0472	2.9416
6629323866	1260.89	638.85	1305.01	639.95	2.9493	2.9735
6629332198	1255.45	604.66	1303.18	644.03	2.9199	2.9641
6629340531	1272.53	655.98	1303.19	646.06	3.0321	2.9731
6629348864	1264.19	663.44	1307.86	637.83	3.0547	2.9646
6629357197	1258.83	609.32	1307.83	645.90	2.9324	2.9673
6629365531	1268.09	652.69	1299.80	638.50	3.0309	2.9594
6629373864	1263.82	675.40	1313.40	641.52	3.0874	3.0030
6629382197	1255.18	655.05	1301.29	641.95	3.0460	2.9769
6629390531	1262.77	685.38	1303.33	639.47	3.0971	2.9834
6629398864	1280.83	675.33	1309.41	639.60	3.1113	2.9957
6629407198	1264.78	639.00	1304.34	630.39	3.0355	2.9858
6629415531	1269.89	677.62	1307.23	638.88	3.1193	2.9917
6629423863	1269.87	640.82	1297.75	629.98	3.0496	2.9898
6629432196	1272.79	677.49	1300.48	639.49	3.0940	2.9915
6629440530	1263.25	674.62	1303.21	632.66	3.1192	3.0127
6629448866	1269.78	655.21	1298.90	630.90	3.0901	3.0133
6629457199	1259.22	669.79	1304.78	635.85	3.1357	2.9958
6629465533	1265.33	657.99	1304.15	637.59	3.0880	3.0070
6629473866	1281.54	665.74	1308.15	640.81	3.1096	3.0429
6629482199	1267.06	650.14	1299.96	648.97	3.0764	3.0499
6629490533	1258.32	667.95	1295.06	675.52	3.1118	3.1028
6629498866	1265.25	667.88	1299.89	634.34	3.1086	3.0278
6629507198	1262.56	693.10	1312.46	651.65	3.1660	3.0415
6629515531	1265.28	702.21	1304.99	635.82	3.2069	3.0357
6629523865	1260.51	662.27	1303.67	654.51	3.1022	3.0856
6629532199	1269.75	688.32	1299.75	648.62	3.1542	3.0591
6629540532	1272.15	707.46	1303.22	666.17	3.2005	3.1047
6629548865	1279.21	703.32	1307.73	638.12	3.2627	3.0688
6629557198	1271.16	688.97	1299.20	634.18	3.2044	3.0812
6629565531	1263.52	646.53	1307.56	636.17	3.1491	3.0911
6629573865	1267.36	685.49	1303.08	623.97	3.2263	3.0681
6629582206	1274.09	658.67	1298.76	631.37	3.1621	3.0946
6629590539	1270.56	642.54	1296.45	650.16	3.1625	3.1315
6629598872	1263.96	660.45	1299.33	645.25	3.2075	3.1340
6629607205	1273.65	656.49	1299.96	633.43	3.2112	3.1385
6629615539	1265.45	679.01	1308.96	646.82	3.2583	3.1323
6629623872	1268.18	679.30	1303.92	632.12	3.2742	3.1495
6629632205	1279.79	678.37	1304.91	644.41	3.2329	3.1467
6629640538	1274.80	676.46	1308.32	632.67	3.2359	3.1414
6629648872	1269.04	705.97	1297.25	647.14	3.3106	3.1402
6629657206	1279.17	680.21	1297.38	667.90	3.2441	3.1987
6629665539	1270.48	688.61	1298.35	653.35	3.2794	3.1790
6629673871	1273.61	701.83	1291.99	653.41	3.3037	3.1805
6629682204	1281.25	670.78	1301.22	655.86	3.2019	3.2090
6629690537	1276.34	689.24	1297.33	671.13	3.2988	3.2192
6629698871	1284.44	679.35	1297.98	651.51	3.2854	3.1913
6629707204	1261.26	691.46	1299.10	648.72	3.3243	3.1712
6629715541	1273.66	672.90	1295.34	646.94	3.2665	3.2124
6629723875	1263.45	696.80	1299.96	674.48	3.3141	3.2449
6629732208	1270.56	688.75	1294.21	639.50	3.3025	3.1927
6629740542	1276.70	691.61	1297.29	660.60	3.3306	3.2503
6629748875	1289.92	680.10	1299.56	633.99	3.3227	3.2108
6629757207	1282.22	682.35	1303.36	644.78	3.2997	3.2102
6629765540	1278.29	680.33	1292.81	653.33	3.3320	3.2543
6629773874	1275.45	685.23	1299.82	645.52	3.2977	3.2303
6629782207	1273.47	699.67	1290.33	631.75	3.3974	3.2125
6629790540	1280.70	678.78	1298.54	648.59	3.3124	3.2405
6629798874	1282.34	688.24	1290.70	675.85	3.3368	3.2950
6629807207	1278.98	679.27	1302.19	640.58	3.3251	3.2157
6629815540	1274.51	670.16	1298.02	646.24	3.3095	3.2211
6629823874	1281.35	701.00	1296.08	683.42	3.3484	3.3008
6629832207	1282.16	681.17	1296.33	677.16	3.3223	3.2608
6629840540	1286.44	690.07	1290.21	689.06	3.3323	3.3477
6629848877	1279.22	710.13	1299.72	686.20	3.3493	3.2755
6629857210	1276.54	710.49	1296.04	676.88	3.3625	3.2540
6629865544	1290.67	698.16	1297.47	690.47	3.3544	3.3129
6629873877	1277.18	689.46	1291.99	675.17	3.3230	3.3109
6629882210	1275.82	699.08	1297.88	681.01	3.3435	3.2971
6629890543	1271.42	682.64	1296.27	678.94	3.2975	3.3187
6629898877	1279.71	693.28	1288.51	684.66	3.3585	3.2973
6629907210	1279.91	707.60	1297.78	662.93	3.3549	3.2788
6629915543	1282.64	699.76	1302.23	676.04	3.3633	3.2903
6629923877	1281.65	698.31	1291.53	682.60	3.3658	3.3415
6629932209	1274.07	702.43	1290.29	691.41	3.3832	3.3413
6629940542	1273.23	693.83	1294.30	669.16	3.3727	3.3007
6629948876	1278.76	684.59	1293.49	682.06	3.3282	3.3264
6629957209	1286.62	691.08	1293.94	661.66	3.3587	3.3086
6629965542	1282.09	690.95	1293.20	691.43	3.3572	3.3450
6629973880	1277.85	682.10	1298.99	679.93	3.3575	3.3484
6629982213	1286.24	689.07	1299.15	669.32	3.3463	3.3154
6629990547	1282.53	693.06	1292.94	681.13	3.4096	3.3445
6629998879	1283.82	668.75	1294.27	678.73	3.3323	3.3235
6630007213	1283.33	680.55	1294.92	679.62	3.3643	3.3711
6630015545	1286.00	694.16	1290.85	689.25	3.3835	3.3417
6630023878	1277.00	689.53	1299.45	689.55	3.3423	3.3631
6630032212	1277.58	677.97	1292.30	685.03	3.3513	3.3594
