trial	image	image_flip_time	fixation_flip_time
1	number3.jpg	366396.0756	366399.0756
2	number1.jpg	366400.0840	366403.0923
3	number2.jpg	366404.1006	366407.1007
4	number3.jpg	366409.4507	366412.4590
5	number2.jpg	366413.4673	366416.4757
6	number1.jpg	366421.6757	366424.6841
