trial	image	fixation_flip_time	image_flip_time	image_stop_time
1	number1 - Copy (2).jpg	1564606.6123	1564605.8289
1.564610e+06	2	number1 - Copy (3).jpg	1564613.6123	1564612.8956
1.564617e+06	
