stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
labelme_uogxwpbmtxcnafj.jpg	1	0.206	0.158	1323.010	536.680	0.150	0.069	0.0	0	other
labelme_uogxwpbmtxcnafj.jpg	2	0.381	0.317	1354.760	484.175	0.057	0.019	0.0	5	soap dish
labelme_uogxwpbmtxcnafj.jpg	3	0.715	0.292	1372.405	471.685	0.063	0.020	0.0	4	soap bottle
labelme_uogxwpbmtxcnafj.jpg	3	0.715	0.292	1372.405	471.685	0.063	0.020	0.0	5	soap dish
labelme_uogxwpbmtxcnafj.jpg	4	1.048	0.333	893.507	576.715	0.097	0.041	0.0	7	towel
labelme_uogxwpbmtxcnafj.jpg	5	1.415	0.300	1098.650	791.670	0.111	0.043	0.0	1	bathtub
labelme_uogxwpbmtxcnafj.jpg	6	1.732	0.200	1247.290	738.797	0.084	0.025	0.0	1	bathtub
labelme_uogxwpbmtxcnafj.jpg	7	1.957	0.242	1098.590	625.920	0.083	0.018	0.0	1	bathtub
labelme_uogxwpbmtxcnafj.jpg	7	1.957	0.242	1098.590	625.920	0.083	0.018	0.0	3	curtain
labelme_uogxwpbmtxcnafj.jpg	8	2.215	0.375	1203.970	552.085	0.083	0.026	0.0	1	bathtub
labelme_uogxwpbmtxcnafj.jpg	9	2.657	0.350	1477.192	823.065	0.067	0.021	0.0	1	bathtub
